assay_chembl_id,compound_chembl_id,canonical_smiles,pchembl_value
CHEMBL832788,CHEMBL185282,O=C(CN1CCCN(Cc2ccc(Cl)cc2)CC1)NNC(=O)c1cccs1,4.52
CHEMBL832788,CHEMBL186689,CS(=O)(=O)c1ccc(CN2CCCN(CCC(O)(c3ccc(Cl)cc3)c3cccc(O)c3)CC2)cc1,5.82
CHEMBL832788,CHEMBL186899,CS(=O)(=O)c1ccc(CN2CCCN(CCC(O)(c3cccc(O)c3)c3cc(F)cc(F)c3)CC2)cc1,5.03
CHEMBL832788,CHEMBL188075,CS(=O)(=O)c1ccc(CN2CCCN(CCC(O)(c3cccc(O)c3)c3cccc(Cl)c3)CC2)cc1,5.35
CHEMBL832788,CHEMBL187856,CS(=O)(=O)c1ccc(CN2CCCN(CCC(O)(c3ccc(O)cc3)c3ccc(O)cc3)CC2)cc1,4.68
CHEMBL832788,CHEMBL184688,O=[N+]([O-])c1ccc(CN2CCCN(CCC(c3ccccc3)c3ccccc3)CC2)cc1,4.72
CHEMBL832788,CHEMBL186913,COc1cccc(C(O)(CCN2CCCN(Cc3ccc(S(C)(=O)=O)cc3)CC2)c2ccccc2)c1,5.10
CHEMBL832788,CHEMBL442966,CS(=O)(=O)c1ccc(CN2CCCN(CCC(O)(c3ccccc3)c3cccc(CO)c3)CC2)cc1,5.40
CHEMBL832788,CHEMBL184256,NS(=O)(=O)c1ccc(CN2CCCN(CCC(O)(c3ccccc3)c3cccc(O)c3)CC2)cc1,5.82
CHEMBL832788,CHEMBL187701,CS(=O)(=O)c1ccc(CN2CCCN(CCC(O)(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,5.16
CHEMBL832788,CHEMBL361121,N#Cc1ccc(CN2CCCN(CCC(c3ccccc3)c3ccccc3)CC2)cc1,4.37
CHEMBL832788,CHEMBL186855,Cc1csc(C(=O)NNC(=O)CN2CCCN(Cc3ccc(Cl)cc3)CC2)c1,5.13
CHEMBL832788,CHEMBL363059,CNc1cccc(C(O)(CCN2CCCN(Cc3ccc(S(C)(=O)=O)cc3)CC2)c2ccccc2)c1,5.30
CHEMBL832788,CHEMBL187284,CS(=O)(=O)c1ccc(CN2CCCN(CCC(O)(c3ccccc3)c3cccc(N)c3)CC2)cc1,5.38
CHEMBL832788,CHEMBL184390,CS(=O)(=O)c1ccc(CN2CCCN(CCC(O)(c3cccc(F)c3)c3cccc(F)c3)CC2)cc1,4.47
CHEMBL832788,CHEMBL365853,Cc1csc(C(=O)NNC(=O)CN2CCCN(CCC(O)(c3ccccc3)c3cccc(O)c3)CC2)c1,5.19
CHEMBL832788,CHEMBL182598,CS(=O)(=O)c1ccc(CN2CCCN(CCC(O)(c3ccccc3)c3ccccc3)CC2)cc1,5.39
CHEMBL832788,CHEMBL181918,CS(=O)(=O)c1ccc(CN2CCCN(CCC(O)(c3ccccc3)c3cccc(F)c3)CC2)cc1,4.92
CHEMBL832788,CHEMBL183001,Cc1cccc(C(O)(CCN2CCCN(Cc3ccc(S(C)(=O)=O)cc3)CC2)c2ccccc2)c1,4.80
CHEMBL832788,CHEMBL187126,CS(=O)(=O)c1ccc(CN2CCCN(CCC(O)(c3cccc(O)c3)c3cccc(F)c3)CC2)cc1,5.62
CHEMBL832788,CHEMBL185517,CS(=O)(=O)c1ccc(CN2CCCN(CCC(O)(c3ccc(F)cc3)c3cccc(O)c3)CC2)cc1,5.82
CHEMBL832788,CHEMBL183966,CS(=O)(=O)c1ccc(CN2CCCN(CCC(O)(c3ccc(Cl)cc3)c3ccc(Cl)cc3)CC2)cc1,4.96
CHEMBL832788,CHEMBL185032,c1ccc(C(CCN2CCCN(Cc3ccncc3)CC2)c2ccccc2)cc1,4.96
