assay_chembl_id,compound_chembl_id,canonical_smiles,pchembl_value
CHEMBL4315097,CHEMBL4573726,CN(C)CCNc1nc(/C=C/c2ccc(S(C)(=O)=O)cc2)nc2ccc(Cl)cc12,6.62
CHEMBL4315097,CHEMBL4453048,CCN(CC)CCCC(C)Nc1nc(/C=C/c2ccc(F)cc2)nc2ccccc12,5.66
CHEMBL4315097,CHEMBL4466395,CN(C)CCCNc1nc(/C=C/c2ccc(F)c(F)c2)nc2ccc(Br)cc12,5.22
CHEMBL4315097,CHEMBL4583023,CN(C)CCNc1nc(/C=C/c2ccc(F)c(F)c2)nc2ccc(F)cc12,5.56
CHEMBL4315097,CHEMBL4475132,CN(C)CCCNc1nc(/C=C/c2ccc(F)cc2)nc2ccc(F)cc12,5.45
CHEMBL4315097,CHEMBL4533379,Fc1ccc(/C=C/c2nc(N3CCC[C@@H]3CN3CCCC3)c3cc(Cl)ccc3n2)cc1F,4.90
CHEMBL4315097,CHEMBL4581696,CN(C)CCCNc1nc(/C=C/c2ccc(F)c(F)c2)nc2ccc(Cl)cc12,5.16
CHEMBL4315097,CHEMBL4467205,CN(C)CCCNc1nc(/C=C/c2cccs2)nc2ccc(Br)cc12,5.55
CHEMBL4315097,CHEMBL4586220,CCN(CC)CCCNc1nc(/C=C/c2cccs2)nc2ccccc12,4.99
CHEMBL4315097,CHEMBL4460804,CCN(CC)CCCNc1nc(/C=C/c2ccc(S(C)(=O)=O)cc2)nc2ccc(Cl)cc12,5.99
CHEMBL4315097,CHEMBL4453029,CCN(CC)CCCNc1nc(/C=C/c2ccc(SC)cc2)nc2ccc(Cl)cc12,5.30
CHEMBL4315097,CHEMBL4468575,CN(C)CCNc1nc(/C=C/c2ccc(F)cc2)nc2ccccc12,6.12
CHEMBL4315097,CHEMBL4575086,COc1ccc(/C=C/c2nc(NCCCN3CCN(C)CC3)c3ccccc3n2)cc1,5.19
CHEMBL4315097,CHEMBL4551661,COc1ccc(/C=C/c2nc(NCCCN(C)C)c3cc(F)ccc3n2)cc1,5.87
CHEMBL4315097,CHEMBL4457195,Fc1ccc(/C=C/c2nc(NCCCN3CCOCC3)c3ccccc3n2)cc1,5.22
CHEMBL4315097,CHEMBL4559574,CN(C)CCNc1nc(/C=C/c2ccc(F)c(F)c2)nc2ccc(Cl)cc12,5.69
CHEMBL4315097,CHEMBL4449620,CC(C)c1ccc(/C=C/c2nc(NCCCN(C)C)c3ccccc3n2)cc1,5.91
CHEMBL4315097,CHEMBL4472201,CCN(CC)CCCNc1nc(/C=C/c2ccc(F)cc2)nc2ccc(F)cc12,5.31
CHEMBL4315097,CHEMBL4555441,COc1ccc(/C=C/c2nc(NCCCN3CCOCC3)c3cc(Br)ccc3n2)cc1,5.04
CHEMBL4315097,CHEMBL4455084,Fc1ccc(/C=C/c2nc(N3CCC[C@H]3CN3CCCC3)c3cc(Cl)ccc3n2)cc1F,4.90
CHEMBL4315097,CHEMBL4453235,Fc1ccc(/C=C/c2nc(NCCCN3CCOCC3)c3cc(Cl)ccc3n2)cc1,4.90
CHEMBL4315097,CHEMBL4539094,CCN(CC)CCCNc1nc(/C=C/c2ccc(C(C)C)cc2)nc2ccccc12,5.82
CHEMBL4315097,CHEMBL4460414,CN(C)CCCNc1nc(/C=C/c2ccc(F)cc2)nc2ccccc12,5.51
CHEMBL4315097,CHEMBL4450643,CCN(CC)CCCNc1nc(/C=C/c2ccc(OC)cc2)nc2cc(Cl)ccc12,4.97
CHEMBL4315097,CHEMBL4440857,CCN(CC)CCNc1nc(/C=C/c2ccc(F)c(F)c2)nc2ccc(Br)cc12,5.56
CHEMBL4315097,CHEMBL4552366,COc1ccc(/C=C/c2nc(NCCCN3CCOCC3)c3cc(F)ccc3n2)cc1,5.30
CHEMBL4315097,CHEMBL4454662,CN(C)CCCNc1nc(/C=C/c2ccc(F)cc2)nc2ccc(Br)cc12,5.82
CHEMBL4315097,CHEMBL4590049,CCN(CC)CCNc1nc(/C=C/c2ccc(F)cc2)nc2ccccc12,5.73
CHEMBL4315097,CHEMBL4444145,CCN(CC)CCNc1nc(/C=C/c2ccc(F)c(F)c2)nc2ccc(F)cc12,5.45
CHEMBL4315097,CHEMBL4593529,CCN(CC)CCCC(C)Nc1nc(/C=C/c2ccc(F)c(F)c2)nc2ccc(F)cc12,4.94
CHEMBL4315097,CHEMBL4474389,CCN(CC)CCCNc1nc(/C=C/c2ccc(F)c(F)c2)nc2ccc(Cl)cc12,5.25
CHEMBL4315097,CHEMBL4474253,CCN(CC)CCCNc1nc(/C=C/c2ccc(F)c(F)c2)nc2ccc(F)cc12,5.15
CHEMBL4315097,CHEMBL4462437,CCN(CC)CCNc1nc(/C=C/c2cccs2)nc2ccc(Cl)cc12,5.66
CHEMBL4315097,CHEMBL4557689,CC(C)c1ccc(/C=C/c2nc(NCCCN(C)C)c3cc(F)ccc3n2)cc1,6.47
CHEMBL4315097,CHEMBL4528927,CN(C)CCNc1nc(/C=C/c2ccc(F)c(F)c2)nc2ccccc12,5.56
CHEMBL4315097,CHEMBL4476842,CCN(CC)CCNc1nc(/C=C/c2ccc(C(C)C)cc2)nc2ccc(Cl)cc12,6.72
CHEMBL4315097,CHEMBL4559699,CCCNc1nc(/C=C/c2ccc(S(C)(=O)=O)cc2)nc2ccccc12,5.65
CHEMBL4315097,CHEMBL4570487,CN(C)CCNc1nc(/C=C/c2ccc(F)c(F)c2)nc2ccc(Br)cc12,6.13
CHEMBL4315097,CHEMBL186928,COc1ccc(/C=C/c2nc(NCCCN(C)C)c3ccccc3n2)cc1,5.42
CHEMBL4315097,CHEMBL4522520,CN(C)CCCNc1nc(/C=C/c2ccc(S(C)(=O)=O)cc2)nc2ccc(Cl)cc12,6.06
CHEMBL4315097,CHEMBL4541332,COc1cc(/C=C/c2nc(NCCCN(C)C)c3ccccc3n2)cc(OC)c1OC,4.90
CHEMBL4315097,CHEMBL4453966,CC(C)c1ccc(/C=C/c2nc(NCCN(C)C)c3cc(Cl)ccc3n2)cc1,6.39
CHEMBL4315097,CHEMBL4453516,CN(C)CCCNc1nc(/C=C/c2cccs2)nc2ccccc12,5.25
CHEMBL4315097,CHEMBL4464598,CN(C)CCCNc1nc(/C=C/c2ccc(F)c(F)c2)nc2ccc(F)cc12,5.25
CHEMBL4315097,CHEMBL4464557,CC(C)c1ccc(/C=C/c2nc(NCCCN(C)C)c3cc(Cl)ccc3n2)cc1,6.39
CHEMBL4315097,CHEMBL4456397,CN(C)CCCNc1nc(/C=C/c2cccs2)nc2ccc(Cl)cc12,5.42
CHEMBL4315097,CHEMBL4550699,COc1ccc(/C=C/c2nc(NCCCN(C)C)c3cc(Cl)ccc3n2)cc1,5.72
CHEMBL4315097,CHEMBL4562483,CCN(CC)CCCNc1nc(/C=C/c2ccc(OC)cc2)nc2ccc(F)cc12,5.47
