assay_chembl_id,compound_chembl_id,canonical_smiles,pchembl_value
CHEMBL862356,CHEMBL382241,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc([S+](C)[O-])ccc21,5.75
CHEMBL862356,CHEMBL439337,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(-n3ccnn3)cc21,6.19
CHEMBL862356,CHEMBL204005,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cccc(C(=O)O)c21,6.06
CHEMBL862356,CHEMBL206599,CNC(=O)c1ccc2c(c1)[C@H](c1ccc(Cl)c(Cl)c1)CC[C@@H]2NC,5.30
CHEMBL862356,CHEMBL380758,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(C(=O)OC)cc21,5.90
CHEMBL862356,CHEMBL205837,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cccc(C(N)=O)c21,5.94
CHEMBL862356,CHEMBL204323,CN[C@@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(N)(=O)=O)cc21,6.51
CHEMBL862356,CHEMBL381754,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(=O)(=O)NCCO)cc21,6.27
CHEMBL862356,CHEMBL202907,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc(C(N)=O)c(NS(C)(=O)=O)cc21,5.68
CHEMBL862356,CHEMBL206697,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(CO)cc21,6.01
CHEMBL862356,CHEMBL206211,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(C)(=O)=O)cc21,5.68
CHEMBL862356,CHEMBL383706,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(N)(=O)=O)cc21,6.11
CHEMBL862356,CHEMBL206598,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(CNS(C)(=O)=O)cc21,6.02
CHEMBL862356,CHEMBL203331,CN[C@@H]1CC[C@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(N)(=O)=O)cc21,6.51
CHEMBL862356,CHEMBL378804,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(CC(=O)O)cc21,5.02
CHEMBL862356,CHEMBL381792,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(NS(C)(=O)=O)cc21,7.22
CHEMBL862356,CHEMBL382673,CN[C@H]1CC[C@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(N)(=O)=O)cc21,7.96
CHEMBL862356,CHEMBL203674,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(CC(N)=O)cc21,6.04
CHEMBL862356,CHEMBL204285,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc(S(N)(=O)=O)ccc21,5.68
CHEMBL862356,CHEMBL203741,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(C#N)cc21,5.50
CHEMBL862356,CHEMBL809,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,6.08
CHEMBL862356,CHEMBL203236,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(=O)(=O)N(C)C)cc21,5.57
CHEMBL862356,CHEMBL382810,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc([S+](C)[O-])cc21,5.70
CHEMBL862356,CHEMBL205505,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc(C(=O)N(C)C)ccc21,4.94
CHEMBL862356,CHEMBL378379,CNC(=O)c1ccc2c(c1)[C@@H](NC)CC[C@H]2c1ccc(Cl)c(Cl)c1,6.36
CHEMBL862356,CHEMBL203776,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(=O)(=O)NC)cc21,5.90
CHEMBL862356,CHEMBL438257,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(C(N)=O)cc21,6.39
CHEMBL862356,CHEMBL206404,CNC(=O)c1cccc2c1[C@@H](NC)CC[C@H]2c1ccc(Cl)c(Cl)c1,5.82
CHEMBL862356,CHEMBL383081,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc(C(N)=O)ccc21,5.96
CHEMBL862356,CHEMBL203453,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc(S(C)(=O)=O)ccc21,5.38
CHEMBL862356,CHEMBL381315,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc(C(=O)O)c(NS(C)(=O)=O)cc21,5.04
CHEMBL862356,CHEMBL383427,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(-n3cncn3)cc21,6.12
CHEMBL862356,CHEMBL206649,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(O)cc21,6.17
CHEMBL862356,CHEMBL411693,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc([N+](=O)[O-])cc21,5.54
CHEMBL862356,CHEMBL202910,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc(C(=O)O)ccc21,4.69
CHEMBL862356,CHEMBL380523,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(C(=O)N(C)C)cc21,6.57
CHEMBL862356,CHEMBL202810,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(C[S+](C)[O-])cc21,6.35
CHEMBL863613,CHEMBL14370,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,7.96
CHEMBL863613,CHEMBL210116,CCOc1ccccc1CC(c1nccs1)N1CCNCC1,6.47
CHEMBL863613,CHEMBL377189,Clc1ccccc1CC(c1cncs1)N1CCNCC1,6.92
CHEMBL863613,CHEMBL214395,CCOc1ccccc1CC(c1cccc(F)c1)N1CCNCC1,7.66
CHEMBL863613,CHEMBL378319,Clc1ccccc1CC(c1cccnc1)N1CCNCC1,7.12
CHEMBL863613,CHEMBL214259,Clc1cccc(Cl)c1CC(c1ccccc1)N1CCNCC1,7.09
CHEMBL863613,CHEMBL384687,c1ccc(CCC(Cc2ccccc2)N2CCNCC2)cc1,7.32
CHEMBL863613,CHEMBL213496,CCOc1ccccc1CC(c1cncs1)N1CCNCC1,7.68
CHEMBL863613,CHEMBL214159,CCOc1ccccc1CC(c1ccc(F)cc1)N1CCNCC1,7.55
CHEMBL863613,CHEMBL213785,Fc1ccc(C(Cc2ccccc2Cl)N2CCNCC2)cc1,7.03
CHEMBL863613,CHEMBL211412,Fc1ccccc1C(Cc1ccccc1Cl)N1CCNCC1,6.89
CHEMBL863613,CHEMBL214056,Clc1cccc(CC(c2ccccc2)N2CCNCC2)c1Cl,7.00
CHEMBL863613,CHEMBL386224,CCOc1ccccc1CC(c1ccccc1)N1CCNCC1,7.80
CHEMBL863613,CHEMBL212877,Clc1ccccc1CC(c1ccccc1)N1CCCNCC1,7.12
CHEMBL863613,CHEMBL214121,Fc1cccc(C(Cc2ccccc2Cl)N2CCNCC2)c1,7.60
CHEMBL863613,CHEMBL534942,Cl.Clc1ccccc1CC(c1ccccc1)N1CCNCC1,7.72
CHEMBL863613,CHEMBL534942,Cl.Clc1ccccc1CC(c1ccccc1)N1CCNCC1,7.30
CHEMBL863613,CHEMBL214003,CCOc1ccccc1CC(c1ccccc1)N1CCCNCC1,8.06
CHEMBL863613,CHEMBL213030,Clc1ccccc1CC(c1nccs1)N1CCNCC1,7.35
CHEMBL863613,CHEMBL1175,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,7.72
CHEMBL863613,CHEMBL534723,CCOc1ccccc1C[C@H](c1ccccc1)N1CCNCC1.Cl,7.80
CHEMBL863613,CHEMBL540107,CCOc1ccccc1C[C@@H](c1ccccc1)N1CCNCC1.Cl,7.72
CHEMBL863613,CHEMBL377900,Clc1ccc(Cl)c(CC(c2ccccc2)N2CCNCC2)c1,6.92
CHEMBL863613,CHEMBL378447,CCOc1ccccc1CC(c1ccccc1F)N1CCNCC1,7.42
CHEMBL863613,CHEMBL213287,Clc1ccccc1CC(c1ccccc1)N1CCNCC1,7.66
CHEMBL863613,CHEMBL41,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,5.28
CHEMBL863613,CHEMBL213229,CCOc1ccccc1CC(c1cccnc1)N1CCNCC1,7.82
CHEMBL869835,CHEMBL210126,CCc1ccccc1CC(c1ccccc1)N1CCNCC1,7.14
CHEMBL869835,CHEMBL214335,COc1ccccc1CC(c1ccccc1)N1CCNCC1,7.66
CHEMBL869835,CHEMBL41,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,5.28
CHEMBL869835,CHEMBL213287,Clc1ccccc1CC(c1ccccc1)N1CCNCC1,7.66
CHEMBL869835,CHEMBL212763,COc1cccc(CC(c2ccccc2)N2CCNCC2)c1,6.89
CHEMBL869835,CHEMBL214240,Clc1cccc(CC(c2ccccc2)N2CCNCC2)c1,7.27
CHEMBL869835,CHEMBL210028,Cc1ccccc1CC(c1ccccc1)N1CCNCC1,7.05
CHEMBL869835,CHEMBL213632,CS(=O)(=O)c1ccccc1CC(c1ccccc1)N1CCNCC1,6.57
CHEMBL869835,CHEMBL379205,FC(F)(F)COc1ccccc1CC(c1ccccc1)N1CCNCC1,7.21
CHEMBL869835,CHEMBL386224,CCOc1ccccc1CC(c1ccccc1)N1CCNCC1,7.80
CHEMBL869835,CHEMBL1175,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,7.72
CHEMBL869835,CHEMBL375131,FC(F)(F)Oc1ccccc1CC(c1ccccc1)N1CCNCC1,7.42
CHEMBL869835,CHEMBL14370,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,7.96
CHEMBL869835,CHEMBL214237,c1ccc(CC(c2ccccc2)N2CCNCC2)cc1,7.41
CHEMBL869835,CHEMBL213754,CCCOc1ccccc1CC(c1ccccc1)N1CCNCC1,7.51
CHEMBL869835,CHEMBL213035,N#Cc1ccccc1CC(c1ccccc1)N1CCNCC1,7.14
CHEMBL869835,CHEMBL210027,FC(F)(F)c1ccccc1CC(c1ccccc1)N1CCNCC1,7.51
CHEMBL869835,CHEMBL386223,N#Cc1cccc(CC(c2ccccc2)N2CCNCC2)c1,6.52
CHEMBL869835,CHEMBL378418,Brc1ccccc1CC(c1ccccc1)N1CCNCC1,7.46
CHEMBL869835,CHEMBL210026,Oc1cccc(CC(c2ccccc2)N2CCNCC2)c1,7.85
CHEMBL948897,CHEMBL258060,CNCc1cc(NS(C)(=O)=O)ccc1Oc1ccc(Cl)cc1C,7.60
CHEMBL948897,CHEMBL403090,CNCc1cc(N2CCCS2(=O)=O)ccc1Oc1ccc(Cl)cc1C,7.96
CHEMBL948897,CHEMBL402851,CN(C)Cc1ccccc1Oc1ccccc1Cl,7.82
CHEMBL948897,CHEMBL256816,CNCc1ccccc1Oc1ccc(Cl)cc1Cl,7.38
CHEMBL948897,CHEMBL255957,CNCc1ccccc1Oc1ccc(OC)cc1Cl,6.80
CHEMBL948897,CHEMBL257481,CNCc1cc(C(=O)NC)ccc1Oc1ccc(Cl)cc1OC,7.11
CHEMBL948897,CHEMBL257424,CN(C)Cc1ccccc1Oc1cccc(Cl)c1,7.09
CHEMBL948897,CHEMBL404754,CNCc1cc(C(=O)NC)ccc1Oc1ccc(Cl)cc1Cl,7.42
CHEMBL948897,CHEMBL401819,CNCc1cc(C(N)=O)ccc1Oc1ccc(Cl)cc1C,7.34
CHEMBL948897,CHEMBL256817,CN(C)Cc1ccccc1Oc1ccc(F)cc1Cl,7.34
CHEMBL948897,CHEMBL247733,Cc1cccc(CN(C2CCOCC2)[C@H]2CCNC2)c1C,8.15
CHEMBL948897,CHEMBL402345,CNCc1cc(C(=O)N(C)C)ccc1Oc1ccc(Cl)cc1OC,7.50
CHEMBL948897,CHEMBL256168,CNCc1ccccc1Oc1ccc(F)cc1Cl,6.52
CHEMBL948897,CHEMBL272493,CNCc1cc(C(=O)N(C)C)ccc1Oc1ccc(Cl)cc1C,7.77
CHEMBL948897,CHEMBL403071,CNCc1ccccc1Oc1ccc(Cl)cc1C,7.66
CHEMBL948897,CHEMBL257423,CN(C)Cc1ccccc1Oc1ccc(Cl)cc1,6.59
CHEMBL948897,CHEMBL256819,CN(C)Cc1ccccc1Oc1ccc(Cl)cc1F,7.68
CHEMBL948897,CHEMBL258271,CNCc1cc(C(N)=O)ccc1Oc1ccc(Cl)cc1Cl,7.08
CHEMBL948897,CHEMBL403441,CCOc1ccccc1C[C@H](c1ccccc1)N1CCNCC1,7.80
CHEMBL948897,CHEMBL402057,CN(C)Cc1ccccc1Oc1ccc(Cl)cc1Cl,7.96
CHEMBL948897,CHEMBL407815,CNCc1ccccc1Oc1ccc(Cl)cc1F,6.37
CHEMBL948897,CHEMBL256818,CNCc1ccccc1Oc1ccc(Cl)cc1OC,7.11
CHEMBL948897,CHEMBL256058,CN(C)Cc1ccccc1Oc1ccccc1,7.16
CHEMBL948897,CHEMBL258062,CNCc1cc(C(=O)N(C)C)ccc1Oc1ccc(Cl)cc1Cl,7.48
CHEMBL948897,CHEMBL401877,CNCc1cc(C(N)=O)ccc1Oc1ccc(Cl)cc1OC,7.21
CHEMBL948897,CHEMBL438889,CNCc1cc(N2CCCS2(=O)=O)ccc1Oc1ccc(Cl)cc1Cl,7.77
CHEMBL948897,CHEMBL404258,COc1cc(Cl)ccc1Oc1ccccc1CN(C)C,7.85
CHEMBL948897,CHEMBL404317,CNCc1cc(C(=O)NC)ccc1Oc1ccc(Cl)cc1C,7.58
CHEMBL931354,CHEMBL257603,C=CCN(C)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,7.00
CHEMBL931354,CHEMBL401676,CCN(CC)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,7.31
CHEMBL931354,CHEMBL439423,C#CCN(C)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,6.96
CHEMBL931354,CHEMBL255448,COCCN(C)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,5.96
CHEMBL931354,CHEMBL402088,CCN(CC)C(=O)[C@@]1(c2cccnc2)C[C@H]1CN,5.82
CHEMBL931354,CHEMBL255449,C=CCN(C(=O)[C@@]1(c2ccsc2)C[C@H]1CN)C1CC1,8.06
CHEMBL931354,CHEMBL402027,C=C(F)CN(C)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,7.36
CHEMBL931354,CHEMBL404027,NC[C@@H]1C[C@@]1(C(=O)N1CCc2ccccc2C1)c1ccsc1,8.08
CHEMBL931354,CHEMBL257388,C#CCN(CC#C)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,8.09
CHEMBL931354,CHEMBL403760,CCN(CC)C(=O)[C@@]1(c2ccsc2)C[C@H]1CNC,5.43
CHEMBL931354,CHEMBL403370,CCN(CC)C(=O)[C@@]1(c2nc3ccccc3s2)C[C@H]1CN,5.66
CHEMBL931354,CHEMBL258013,CCN(CC)C(=O)[C@@]1(c2sc(Cl)c(Cl)c2Cl)C[C@H]1CN,6.57
CHEMBL931354,CHEMBL402089,NC[C@@H]1C[C@@]1(C(=O)N1C=COc2ccccc21)c1ccsc1,7.92
CHEMBL931354,CHEMBL401976,CCN(CC)C(=O)[C@@]1(c2ccccn2)C[C@H]1CN,5.82
CHEMBL931354,CHEMBL257809,CCN(CC)C(=O)[C@@]1(c2ccc(Br)s2)C[C@H]1CN,7.54
CHEMBL931354,CHEMBL257348,NC[C@@H]1C[C@@]1(C(=O)C1NCc2ccccc21)c1ccsc1,7.43
CHEMBL931354,CHEMBL257338,CCN(CC)C(=O)[C@@]1(c2cc3ccccc3s2)C[C@H]1CN,7.19
CHEMBL931354,CHEMBL99946,CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN,7.40
CHEMBL931354,CHEMBL257389,C=C(F)CN(CCOC)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,8.41
CHEMBL931354,CHEMBL257602,C=CCN(CC)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,8.25
CHEMBL931354,CHEMBL255663,C=CCN(CC=C)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,8.57
CHEMBL931354,CHEMBL259209,CCN(CC)C(=O)C1(c2ccccc2)CC1CN,5.26
CHEMBL931354,CHEMBL255246,NC[C@@H]1C[C@@]1(C(=O)N1CCCc2ccccc21)c1ccsc1,7.70
CHEMBL931354,CHEMBL257810,CCN(CC)C(=O)[C@@]1(c2ccc(Cl)s2)C[C@H]1CN,7.40
CHEMBL931354,CHEMBL257390,C#CCN(CCOC)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,7.19
CHEMBL931354,CHEMBL401677,C=CN(CC)C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN,8.54
CHEMBL931354,CHEMBL403616,C=CCN(CCOC)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,7.70
CHEMBL931354,CHEMBL257808,CCN(CC)C(=O)[C@@]1(c2csc3ccccc23)C[C@H]1CN,6.77
CHEMBL931354,CHEMBL401804,CCN(CC)C(=O)[C@@]1(c2cc(Cl)c(Cl)s2)C[C@H]1CN,6.25
CHEMBL931354,CHEMBL402090,NC[C@@H]1C[C@@]1(C(=O)N1C=CCCC1)c1ccsc1,6.70
CHEMBL931354,CHEMBL255450,C#CCN(CC=C)C(=O)[C@@]1(c2ccsc2)C[C@H]1CN,8.55
CHEMBL931354,CHEMBL257964,CCN(CC)C(=O)[C@@]1(c2cccs2)C[C@H]1CN,7.12
CHEMBL931354,CHEMBL257130,CCN(CC)C(=O)[C@@]1(c2cc3cc(F)ccc3s2)C[C@H]1CN,6.82
CHEMBL929226,CHEMBL403441,CCOc1ccccc1C[C@H](c1ccccc1)N1CCNCC1,7.75
CHEMBL929226,CHEMBL403080,COc1cc(Cl)ccc1Oc1cc(C)ncc1CN(C)C,7.58
CHEMBL929226,CHEMBL256970,Cc1cc(Oc2ccc(Cl)cc2C)c(CN(C)C)cn1,7.58
CHEMBL929226,CHEMBL401596,Cc1cc(Cl)ccc1Oc1ccncc1CN(C)C,7.44
CHEMBL929226,CHEMBL257593,COc1cc(Cl)ccc1Oc1ccncc1CN(C)C,7.33
CHEMBL929226,CHEMBL403251,CCc1cc(Cl)ccc1Oc1cc(C)ncc1CNC,7.66
CHEMBL929226,CHEMBL259136,CNCc1cnccc1Oc1ccc(Cl)cc1Cl,6.80
CHEMBL929226,CHEMBL402345,CNCc1cc(C(=O)N(C)C)ccc1Oc1ccc(Cl)cc1OC,7.50
CHEMBL929226,CHEMBL256137,CNCc1cnc(C)cc1Oc1ccc(Cl)cc1C,7.29
CHEMBL929226,CHEMBL256511,CNCc1cnccc1Oc1ccc(Cl)cc1C,6.61
CHEMBL929226,CHEMBL257592,CCc1cc(Cl)ccc1Oc1ccncc1CNC,7.07
CHEMBL929226,CHEMBL256293,CCc1cc(Cl)ccc1Oc1cc(C)ncc1CN(C)C,7.52
CHEMBL929226,CHEMBL247733,Cc1cccc(CN(C2CCOCC2)[C@H]2CCNC2)c1C,8.15
CHEMBL929226,CHEMBL402000,CCc1cc(Cl)ccc1Oc1ccncc1CN(C)C,7.75
CHEMBL929226,CHEMBL256136,CN(C)Cc1cnccc1Oc1ccc(Cl)cc1Br,7.58
CHEMBL929226,CHEMBL258449,CNCc1cnccc1Oc1ccc(Cl)cc1OC,6.55
CHEMBL929226,CHEMBL402371,CNCc1cnc(C)cc1Oc1ccc(Cl)cc1Br,7.42
CHEMBL929226,CHEMBL403078,CNCc1cnc(C)cc1Oc1ccc(Cl)cc1OC,7.08
CHEMBL929226,CHEMBL260038,CNCc1cnc(C)cc1Oc1ccc(C)cc1OC,6.59
CHEMBL929226,CHEMBL260036,CN(C)Cc1cnccc1Oc1ccc(Cl)cc1Cl,7.60
CHEMBL929226,CHEMBL256135,CNCc1cnccc1Oc1ccc(Cl)cc1Br,7.07
CHEMBL929226,CHEMBL260037,CCOc1cc(Cl)ccc1Oc1ccncc1CNC,6.41
CHEMBL1012269,CHEMBL481306,CNCc1cc(S(N)(=O)=O)ccc1Cc1ccc(Cl)c(Cl)c1,6.89
CHEMBL1012269,CHEMBL449015,CSc1ccc(Sc2ccc(NS(C)(=O)=O)cc2CN(C)C)cc1,6.28
CHEMBL1012269,CHEMBL443922,CN(C)Cc1ccccc1Oc1ccc(Cl)c(Cl)c1,6.54
CHEMBL1012269,CHEMBL493040,CNCc1ccccc1Cc1ccc(Cl)c(Cl)c1,6.70
CHEMBL1012269,CHEMBL481697,CN(C)Cc1cc(CNS(C)(=O)=O)ccc1Oc1ccc(OC(F)(F)F)cc1,5.25
CHEMBL1012269,CHEMBL479999,CN(C)Cc1cc(C(N)=O)ccc1Cc1ccc(Cl)c(Cl)c1,6.37
CHEMBL1012269,CHEMBL493057,CN(C)Cc1ccccc1Sc1cccc(C(F)(F)F)c1,5.70
CHEMBL1012269,CHEMBL493027,CN(C)Cc1ccccc1Sc1ccc(C(F)(F)F)cc1,5.04
CHEMBL1012269,CHEMBL493263,CN(C)Cc1ccccc1Sc1cccc(Cl)c1,7.30
CHEMBL1012269,CHEMBL257424,CN(C)Cc1ccccc1Oc1cccc(Cl)c1,7.30
CHEMBL1012269,CHEMBL451120,CSc1ccc(Oc2ccc(Br)cc2CN(C)C)cc1,5.10
CHEMBL1012269,CHEMBL482295,CN(C)Cc1cc(NS(C)(=O)=O)ccc1Sc1ccc(C(F)(F)F)cc1,5.19
CHEMBL1012269,CHEMBL479411,CNCc1cc(NS(C)(=O)=O)ccc1Sc1ccc(SC)cc1,5.70
CHEMBL1012269,CHEMBL493476,CN(C)Cc1ccccc1C(O)c1ccc(Cl)c(Cl)c1,5.51
CHEMBL1012269,CHEMBL507422,CN(C)Cc1ccccc1Oc1ccc(C2CC2)cc1,5.85
CHEMBL1012269,CHEMBL481124,CN(C)Cc1ccccc1Oc1ccc(CC2CC2)cc1,5.57
CHEMBL1012269,CHEMBL492842,CSc1ccc(Cc2ccccc2CN(C)C)cc1,5.89
CHEMBL1012269,CHEMBL446481,CSc1ccc(Oc2ccc(F)cc2CN(C)C)cc1,6.20
CHEMBL1012269,CHEMBL383706,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(N)(=O)=O)cc21,6.11
CHEMBL1012269,CHEMBL492841,CNCc1ccccc1Cc1ccc(SC)cc1,5.14
CHEMBL1012269,CHEMBL474922,COc1ccc(Oc2ccccc2CN(C)C)cc1,6.17
CHEMBL1012269,CHEMBL452376,CN(C)Cc1ccccc1Oc1ccc(Br)cc1,6.12
CHEMBL1012269,CHEMBL482293,CN(C)Cc1cc(S(N)(=O)=O)ccc1Sc1cccc(C(F)(F)F)c1,5.52
CHEMBL1012269,CHEMBL453493,CN(C)Cc1ccccc1C(=O)c1ccc(Cl)c(Cl)c1,5.07
CHEMBL1012269,CHEMBL479783,CSc1ccc(Sc2ccc(N(C)S(C)(=O)=O)cc2CN(C)C)cc1,7.16
CHEMBL1012269,CHEMBL479410,CN(C)Cc1cc(NS(C)(=O)=O)ccc1Oc1ccc(C(F)(F)F)cc1,6.16
CHEMBL1012269,CHEMBL482292,CN(C)Cc1cc(S(N)(=O)=O)ccc1Cc1ccc(Cl)c(Cl)c1,5.98
CHEMBL1012269,CHEMBL481526,CCOc1ccc(Oc2ccccc2CN(C)C)cc1,5.82
CHEMBL1012269,CHEMBL493264,CSc1ccc(Sc2ccccc2CN(C)C)cc1,6.19
CHEMBL1012269,CHEMBL448689,CSc1ccc(Oc2ccc(Cl)cc2CN(C)C)cc1,5.31
CHEMBL1012269,CHEMBL257423,CN(C)Cc1ccccc1Oc1ccc(Cl)cc1,6.75
CHEMBL1012269,CHEMBL481695,CN(C)Cc1cc(C(N)=O)ccc1Oc1ccc(OC(F)(F)F)cc1,5.38
CHEMBL1012269,CHEMBL481353,CN(C)Cc1ccccc1Oc1ccc(OC(F)(F)F)cc1,5.17
CHEMBL1012269,CHEMBL451165,CNCc1cc(C(N)=O)ccc1Cc1ccc(Cl)c(Cl)c1,7.30
CHEMBL1012269,CHEMBL481696,CNC(=O)c1ccc(Oc2ccc(OC(F)(F)F)cc2)c(CN(C)C)c1,5.54
CHEMBL1012269,CHEMBL491268,CN(C)Cc1ccccc1Cc1ccc(Cl)c(Cl)c1,5.89
CHEMBL1012269,CHEMBL502129,CN(C)Cc1cc(C(=O)N(C)C)ccc1Oc1ccc(OC(F)(F)F)cc1,6.29
CHEMBL1012269,CHEMBL493056,CNCc1ccccc1Sc1ccc(C(F)(F)F)cc1,5.22
CHEMBL945185,CHEMBL453061,Cc1ccccc1O[C@H]1CC[C@@H](N)c2ccccc21,6.20
CHEMBL945185,CHEMBL521392,Cc1ccccc1O[C@H]1C[C@@H](N(C)C)c2ccccc21,6.82
CHEMBL945185,CHEMBL41,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,5.70
CHEMBL945185,CHEMBL486236,CCN(CC)[C@@H]1C[C@H](Oc2ccccc2C)c2ccccc21,5.70
CHEMBL945185,CHEMBL520735,CN(C)[C@@H]1C[C@H](Oc2ccccc2)c2ccccc21,6.10
CHEMBL945185,CHEMBL488049,Cc1ccccc1O[C@@H]1C[C@@H](N(C)C)Cc2ccccc21,6.37
CHEMBL945185,CHEMBL447598,CN[C@@H]1CC[C@H](Oc2ccccc2C)c2ccccc21,6.28
