assay_chembl_id,compound_chembl_id,canonical_smiles,pchembl_value
CHEMBL1113906,CHEMBL1095450,Cc1c(-c2ccccc2)nc(-c2cccc(/C=C/C(=O)NO)c2)n1CCN1CCOCC1,7.20
CHEMBL1113906,CHEMBL1096093,Cc1c(-c2ccccc2)nc(-c2cccc(/C=C/C(=O)NO)c2)n1[C@@H]1CCCN(C(C)C)C1,7.10
CHEMBL1113906,CHEMBL1095710,CN(C)CCn1c(-c2cccc(/C=C/C(=O)NO)c2)nc2ccccc21,7.10
CHEMBL1113906,CHEMBL1094792,C[C@H](c1ccccc1)n1c(-c2cccc(/C=C/C(=O)NO)c2)nc2ccccc21,7.40
CHEMBL1113906,CHEMBL1096705,Cc1nc(-c2cccc(/C=C/C(=O)NO)c2)n(CCc2ccccc2)c1Cc1ccccc1,7.30
CHEMBL1113906,CHEMBL1099057,O=C(/C=C/c1cccc(-c2nc3ccccc3n2CCN2CCCCC2)c1)NO,7.40
CHEMBL1113906,CHEMBL1094094,Cc1nc(Cc2ccccc2)n(CCc2ccccc2)c1-c1cccc(/C=C/C(=O)NO)c1,7.20
CHEMBL1113906,CHEMBL1099049,Cc1c(Cc2ccccc2)nc(-c2cccc(/C=C/C(=O)NO)c2)n1[C@@H]1CCCN(C)C1,7.20
CHEMBL1113906,CHEMBL1099096,O=C(/C=C/c1cccc(-c2nc3ccccc3n2CCc2ccccc2)c1)NO,7.51
CHEMBL1113906,CHEMBL1095136,CCN1CCC[C@@H](n2c(-c3cccc(/C=C/C(=O)NO)c3)nc(-c3ccccc3)c2C)C1,7.00
CHEMBL1113906,CHEMBL1095120,Cc1nc(-c2cccc(/C=C/C(=O)NO)c2)n([C@@H]2CCCN(C(C)C)C2)c1-c1ccccc1,7.00
CHEMBL1113906,CHEMBL1094648,Cc1c(-c2ccccc2)nc(-c2cccc(/C=C/C(=O)NO)c2)n1[C@@H]1CCCN(C)C1,7.20
CHEMBL1113906,CHEMBL1097761,O=C(/C=C/c1cccc(-c2nc3ccccc3n2CCCc2ccccc2)c1)NO,7.70
CHEMBL1113906,CHEMBL1094159,CN1CCC[C@@H](n2c(-c3cccc(/C=C/C(=O)NO)c3)nc3ccccc32)C1,7.00
CHEMBL1113906,CHEMBL1094085,O=C(/C=C/c1cccc(-c2nc3ccccc3n2-c2ccccc2)c1)NO,7.30
CHEMBL1113906,CHEMBL1094152,O=C(/C=C/c1cccc(-c2nc3ccccc3n2[C@H]2CCCNC2)c1)NO,7.60
CHEMBL1113906,CHEMBL1095764,CCN1CCCC(n2c(-c3cccc(/C=C/C(=O)NO)c3)nc3ccccc32)C1,7.10
CHEMBL1113906,CHEMBL1098067,CCN1CCC[C@@H](n2c(Cc3ccccc3)nc(C)c2-c2cccc(/C=C/C(=O)NO)c2)C1,6.30
CHEMBL1113906,CHEMBL1095972,Cc1nc(-c2cccc(/C=C/C(=O)NO)c2)n(CCN2CCOCC2)c1Cc1ccccc1,7.10
CHEMBL1113906,CHEMBL1095076,O=C(/C=C/c1cccc(-c2nc3ccccc3n2CC2CCNCC2)c1)NO,6.70
CHEMBL1113906,CHEMBL1096433,Cc1nc(-c2cccc(/C=C/C(=O)NO)c2)n(CCc2ccccc2)c1-c1ccccc1,7.10
CHEMBL1113906,CHEMBL1098379,Cn1c(-c2cccc(/C=C/C(=O)NO)c2)nc2ccccc21,7.10
CHEMBL1113906,CHEMBL1095765,CCN1CCC[C@@H](n2c(-c3cccc(/C=C/C(=O)NO)c3)nc3ccccc32)C1,7.10
CHEMBL1113906,CHEMBL1097017,CC(C)n1c(-c2cccc(/C=C/C(=O)NO)c2)nc2ccccc21,7.00
CHEMBL1113906,CHEMBL1095118,Cc1nc(-c2cccc(/C=C/C(=O)NO)c2)n([C@@H]2CCCN(C)C2)c1-c1ccccc1,7.10
CHEMBL1113906,CHEMBL1095119,CCN1CCC[C@@H](n2c(-c3cccc(/C=C/C(=O)NO)c3)nc(C)c2-c2ccccc2)C1,7.10
CHEMBL1113906,CHEMBL1095135,CCN1CCC[C@H](n2c(-c3cccc(/C=C/C(=O)NO)c3)nc3ccccc32)C1,7.10
CHEMBL1113906,CHEMBL1097981,O=C(/C=C/c1cccc(-c2nc3ccccc3n2Cc2ccccc2)c1)NO,7.20
CHEMBL1113906,CHEMBL1096022,CC(C)N(CCn1c(-c2cccc(/C=C/C(=O)NO)c2)nc2ccccc21)C(C)C,7.00
CHEMBL1113906,CHEMBL1094077,CCN1CCC[C@@H](n2c(-c3cccc(/C=C/C(=O)NO)c3)nc(Cc3ccccc3)c2C)C1,7.00
CHEMBL1113906,CHEMBL1095400,Cc1nc(-c2ccccc2)n(CCc2ccccc2)c1-c1cccc(/C=C/C(=O)NO)c1,7.10
CHEMBL1113906,CHEMBL1099048,Cc1c(Cc2ccccc2)nc(-c2cccc(/C=C/C(=O)NO)c2)n1CCc1ccccc1,7.20
