assay_chembl_id,compound_chembl_id,canonical_smiles,pchembl_value
CHEMBL902588,CHEMBL235981,CCCCCc1cccc(-c2cccc(CCCC(=O)NCCc3c[nH]c4ccc(O)cc34)c2)c1,4.30
CHEMBL902588,CHEMBL240060,CCCCCc1cccc(OC(=O)NCCc2c[nH]c3ccc(O)cc23)c1,5.44
CHEMBL902588,CHEMBL191534,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCc1c[nH]c2ccc(O)cc12,5.10
CHEMBL902588,CHEMBL396860,CC(C)(C)c1cccc(OC(=O)NCCc2c[nH]c3ccc(O)cc23)c1,5.43
CHEMBL902588,CHEMBL235983,CCCCCc1ccc2ccc(CCCC(=O)NCCc3c[nH]c4ccc(O)cc34)cc2c1,4.30
CHEMBL902588,CHEMBL393943,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)NCCc1c[nH]c2ccc(O)cc12,5.00
CHEMBL902588,CHEMBL392299,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)NCCc1c[nH]c2ccc(O)cc12,5.00
CHEMBL902588,CHEMBL241138,O=C(NCCc1c[nH]c2ccc(O)cc12)Oc1cccc(I)c1,5.75
CHEMBL902588,CHEMBL236589,O=C(NCCc1c[nH]c2ccc(O)cc12)Oc1ccc(OCc2ccccc2)cc1,5.93
CHEMBL902588,CHEMBL241137,O=C(NCCc1c[nH]c2ccc(O)cc12)Oc1ccc(Cl)cc1,5.17
CHEMBL902588,CHEMBL236385,CCCCC/C=C\C/C=C\CCCCCCCC(=O)NCCc1c[nH]c2ccc(O)cc12,4.52
CHEMBL902588,CHEMBL241139,O=C(NCCc1c[nH]c2ccc(O)cc12)Oc1ccc2ccccc2c1,5.00
CHEMBL902588,CHEMBL396861,O=C(NCCc1c[nH]c2ccc(O)cc12)Oc1cccc(Cl)c1,5.72
CHEMBL902588,CHEMBL394120,O=C(NCCc1c[nH]c2ccc(O)cc12)Oc1ccc(I)cc1,5.30
