assay_chembl_id,compound_chembl_id,canonical_smiles,pchembl_value
CHEMBL1040013,CHEMBL570687,SC1Nc2cc(Cl)ccc2S1,4.30
CHEMBL1040013,CHEMBL571661,CC(C)Nc1ccc(O)c2ncccc12,4.82
CHEMBL1040013,CHEMBL33845,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,4.16
CHEMBL1040013,CHEMBL449298,Nc1ccc(O)c2ncccc12,5.52
CHEMBL1040013,CHEMBL568767,CC(C)(C)Nc1ccc(O)c2ccccc12,5.40
CHEMBL1040013,CHEMBL3707017,CC(C)/N=C1/C=C(C2=C/C(=N\C(C)C)c3ccccc3C2=O)C(=O)c2ccccc21,6.35
CHEMBL1040013,CHEMBL571436,Sc1nc(-c2ccccc2)cs1,4.30
CHEMBL1040013,CHEMBL576113,CCN(CC)CCNc1ccc(O)c2ccccc12,5.52
CHEMBL1040013,CHEMBL572058,COc1ccc(N)c2ccccc12,5.26
CHEMBL1040013,CHEMBL571437,Oc1ccc(NC2CCCCC2)c2ccccc12,4.82
CHEMBL1040013,CHEMBL571981,CN(C)CSC1Nc2ccccc2S1,4.30
CHEMBL1040013,CHEMBL3707018,CCC(CC)/N=C1/C=C(C2=C/C(=N\C(CC)CC)c3ccccc3C2=O)C(=O)c2ccccc21,6.28
CHEMBL1040013,CHEMBL572064,CCCNc1ccc(O)c2ccccc12,5.35
CHEMBL1040013,CHEMBL571240,CNc1ccc(O)c2ccccc12,4.90
CHEMBL1040013,CHEMBL364898,c1cc(-c2cnn[nH]2)ccn1,5.30
CHEMBL1040013,CHEMBL569380,CCCC[C@H](C)Nc1cc(OC)cc2cccnc12,4.30
CHEMBL1040013,CHEMBL570066,OCCOc1ccc(O)c2ccccc12,4.90
CHEMBL1040013,CHEMBL576124,Cl.Cl.NCCCNc1ccc(O)c2ccccc12,5.30
CHEMBL1040013,CHEMBL576123,CC1=C/C(=N\C(C)C)c2ccccc2C1=O,6.70
CHEMBL1040013,CHEMBL571865,CC(C)CNc1ccc(O)c2ccccc12,4.60
CHEMBL1040013,CHEMBL193664,c1ccc(-c2cnn[nH]2)cc1,4.22
CHEMBL1040013,CHEMBL569096,Oc1ccc(NCc2ccccc2)c2ccccc12,5.60
CHEMBL1040013,CHEMBL206816,Oc1ccc(O)c2ccccc12,5.82
CHEMBL1040013,CHEMBL569381,Cl.Cl.NCCNc1ccc(O)c2ccccc12,4.36
CHEMBL1040013,CHEMBL576321,Nc1ccc(O)c2ccccc12,5.22
CHEMBL1040013,CHEMBL571660,CCNc1ccc(O)c2ncccc12,4.40
CHEMBL1040013,CHEMBL577335,CCNc1ccc(O)c2ccccc12,4.80
CHEMBL1040013,CHEMBL572109,C[C@H](N)C(=O)Nc1ccc(O)c2ccccc12,4.22
