assay_chembl_id,compound_chembl_id,canonical_smiles,pchembl_value
CHEMBL695233,CHEMBL75833,CC(C)[C@@H]1[C@H](OC(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN2CCN(Cc3cccnc3)C[C@H]2C(=O)NC(C)(C)C)CCS1(=O)=O,7.82
CHEMBL695233,CHEMBL306598,CC(C)(C)NC(=O)[C@@H]1CN(C(=O)OCc2ccccc2)CCN1C[C@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1,4.92
CHEMBL695233,CHEMBL75270,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccc(O)c2)CCN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1,6.32
CHEMBL695233,CHEMBL73804,CC(C)(C)NC(=O)[C@@H]1CN(Cc2ccccn2)CCN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1,6.02
CHEMBL695233,CHEMBL76338,Cc1cc(C)cc(CN2CCN(C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)O[C@@H]3CCS(=O)(=O)[C@@H]3C(C)C)[C@H](C(=O)NC(C)(C)C)C2)c1,7.11
CHEMBL695233,CHEMBL74699,CC(C)(C)NC(=O)[C@@H]1CN(Cc2ccc(O)cc2)CCN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1,6.82
CHEMBL695233,CHEMBL74862,CC(C)(C)NC(=O)[C@@H]1CN(Cc2ccccc2O)CCN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1,6.99
CHEMBL695233,CHEMBL309346,CC(C)(C)NC(=O)[C@@H]1CN(C(=O)OCc2ccccc2)CCN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1,7.72
CHEMBL695233,CHEMBL75310,Cc1ccc(CN2CCN(C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)O[C@@H]3CCS(=O)(=O)[C@@H]3C(C)C)[C@H](C(=O)NC(C)(C)C)C2)cn1,8.70
CHEMBL695233,CHEMBL72784,CC(C)(C)NC(=O)[C@@H]1CN(CCCc2ccccc2)CCN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1,6.76
