assay_chembl_id,compound_chembl_id,canonical_smiles,pchembl_value
CHEMBL868712,CHEMBL200180,Cn1c(-c2ccccc2Cl)nnc1C12CCC(c3nc(-c4ccc(F)cc4)no3)(CC1)CC2,8.39
CHEMBL868712,CHEMBL197489,Cn1c(-c2ccccc2C(F)(F)F)nnc1C12CCC(c3nc(-c4ccc(Cl)cc4)no3)(CC1)CC2,8.40
CHEMBL868712,CHEMBL373034,COc1cc(O)ccc1-c1nnc(C23CCC(c4nc(-c5ccc(F)cc5)no4)(CC2)CC3)n1C,8.07
CHEMBL868712,CHEMBL383352,CCCCCC12CCC(c3nnc(-c4ccccc4C(F)(F)F)n3C)(CC1)CC2,8.70
CHEMBL868712,CHEMBL200816,Cn1c(-c2ccccc2OC(F)F)nnc1C12CCC(c3nc(-c4ccc(F)cc4)no3)(CC1)CC2,8.03
CHEMBL868712,CHEMBL197220,Cn1c(-c2ccccc2C(F)(F)F)nnc1C12CCC(c3nc(-c4ccc(S(C)(=O)=O)cc4)no3)(CC1)CC2,8.31
CHEMBL868712,CHEMBL200365,C1CCCn2c(nnc2C23CCC(c4nc(CC5CC5)no4)(CC2)CC3)CC1,6.77
CHEMBL868712,CHEMBL372768,Clc1ccc(-c2noc(C34CCC(c5nnc6n5CCCCCC6)(CC3)CC4)n2)cc1,7.89
CHEMBL868712,CHEMBL200876,COC(=O)C12CCC(c3nnc4n3CCCCCC4)(CC1)CC2,6.96
CHEMBL868712,CHEMBL372945,Cn1c(-c2ccccc2C(F)(F)F)nnc1C12CCC(c3nnc(-c4ccc(F)cc4)o3)(CC1)CC2,8.14
CHEMBL868712,CHEMBL426835,COc1ccc(-c2noc(C34CCC(c5nnc(-c6ccccc6C(F)(F)F)n5C)(CC3)CC4)n2)cn1,8.39
CHEMBL868712,CHEMBL200513,CCCCCC12CCC(c3nnc4n3CCCCCC4)(CC1)CC2,8.30
CHEMBL868712,CHEMBL371262,Cn1c(-c2ccccc2C(F)(F)F)nnc1C12CCC(c3nc(-c4ccc(=O)n(C)c4)no3)(CC1)CC2,7.70
CHEMBL868712,CHEMBL198690,Cn1c(-c2ccccc2S(C)(=O)=O)nnc1C12CCC(c3nc(-c4ccc(F)cc4)no3)(CC1)CC2,8.01
CHEMBL868712,CHEMBL200351,Cc1noc(C23CCC(c4nnc5n4CCCCCC5)(CC2)CC3)n1,6.54
CHEMBL868712,CHEMBL372179,Cn1c(-c2ccccc2C(F)(F)F)nnc1C12CCC(c3nc(-c4ccc(C(O)C(F)(F)F)cc4)no3)(CC1)CC2,8.85
CHEMBL868712,CHEMBL372851,Cn1c(-c2ccccc2C(F)(F)F)nnc1C12CCC(c3nc(-c4ccc(F)cc4F)no3)(CC1)CC2,8.59
CHEMBL868712,CHEMBL370362,Cn1c(-c2ccccc2C(F)(F)F)nnc1C12CCC(c3nc(-c4ccc(S(=O)(=O)C(F)(F)F)cc4)no3)(CC1)CC2,8.72
CHEMBL868712,CHEMBL370657,Cn1c(-c2ccccc2C(F)(F)F)nnc1C12CCC(c3noc(-c4ccc(F)cc4)n3)(CC1)CC2,8.70
CHEMBL868712,CHEMBL370642,Cn1c(-c2ccccc2C(F)(F)F)nnc1C12CCC(c3nc(-c4ccc(F)cc4)c[nH]3)(CC1)CC2,8.28
CHEMBL868712,CHEMBL372946,COc1ccc(-c2nnc(C34CCC(c5nc(-c6ccc(F)cc6)no5)(CC3)CC4)n2C)c(Cl)c1,7.66
CHEMBL868712,CHEMBL198849,Cn1c(-c2ccccc2C(F)(F)F)nnc1C12CCC(c3nc(-c4cccc(S(C)(=O)=O)c4)no3)(CC1)CC2,8.38
CHEMBL868712,CHEMBL198906,Cn1c(-c2ccccc2C(F)(F)F)nnc1C12CCC(c3n[nH]c(-c4ccc(F)cc4)n3)(CC1)CC2,8.33
CHEMBL902516,CHEMBL246056,CC(C)(Oc1ccc(Cl)cc1)C(=O)N[C@H]1C2CC3CC1C[C@](C(=O)NCc1ccc(C(=O)NS(C)(=O)=O)cc1)(C3)C2,7.60
CHEMBL902516,CHEMBL246471,CC(C)(Oc1ccc(Cl)cc1)C(=O)N[C@H]1C2CC3CC1C[C@](C(=O)NCc1ccncc1)(C3)C2,7.60
CHEMBL902516,CHEMBL429655,CC(C)(Oc1ccccc1)C(=O)N[C@H]1C2CC3CC1C[C@](C(N)=O)(C3)C2,8.30
CHEMBL902516,CHEMBL246676,CC(C)(Oc1ccc(Cl)cc1)C(=O)N[C@H]1C2CC3CC1C[C@](CO)(C3)C2,8.05
CHEMBL902516,CHEMBL246677,CC(C)(Oc1ccc(Cl)cc1)C(=O)N[C@H]1C2CC3CC1C[C@](COCC(=O)O)(C3)C2,6.96
CHEMBL902516,CHEMBL245647,CC(C)(Oc1cccc(Cl)c1)C(=O)N[C@H]1C2CC3CC1C[C@](C(=O)O)(C3)C2,7.82
CHEMBL902516,CHEMBL246057,CC(C)(Oc1ccc(Cl)cc1)C(=O)N[C@H]1C2CC3CC1C[C@](C(=O)NCc1ccc(-c4nnn[nH]4)cc1)(C3)C2,7.80
CHEMBL902516,CHEMBL246888,CC(C)(Oc1ccccc1Cl)C(=O)N[C@H]1C2CC3CC1C[C@](C(=O)NS(C)(=O)=O)(C3)C2,7.02
CHEMBL902516,CHEMBL394884,COc1ccc(OC(C)(C)C(=O)N[C@H]2C3CC4CC2C[C@](C(N)=O)(C4)C3)cc1,8.22
CHEMBL902516,CHEMBL397074,CC(C)(Oc1ccc(Cl)cc1)C(=O)N[C@H]1C2CC3CC1C[C@](C(=O)NCC(N)=O)(C3)C2,7.92
CHEMBL902516,CHEMBL397073,CC(C)(Oc1ccc(Cl)cc1)C(=O)N[C@H]1C2CC3CC1C[C@](C(=O)NCc1cncs1)(C3)C2,7.57
CHEMBL902516,CHEMBL246678,CC(C)(Oc1ccc(F)cc1Cl)C(=O)N[C@H]1C2CC3CC1C[C@](c1nnn[nH]1)(C3)C2,7.96
CHEMBL902516,CHEMBL246472,CNC(=O)NC(=O)[C@]12CC3CC(C1)[C@@H](NC(=O)C(C)(C)Oc1ccc(Cl)cc1)C(C3)C2,7.89
CHEMBL902516,CHEMBL247286,CC(C)(Oc1ccccc1)C(=O)N[C@H]1C2CC3CC1C[C@](C(=O)O)(C3)C2,7.41
CHEMBL902516,CHEMBL555375,CC(C)(Oc1ccc(Cl)cc1)C(=O)N[C@H]1C2CC3CC1C[C@](C(=O)O)(C3)C2,7.66
CHEMBL902516,CHEMBL246889,CC(C)(Oc1ccccc1Cl)C(=O)N[C@H]1C2CC3CC1C[C@](C(=O)NS(=O)(=O)c1ccccc1)(C3)C2,6.30
CHEMBL902516,CHEMBL245852,CC(C)(Oc1ccc(Cl)cc1)C(=O)N[C@H]1C2CC3CC1C[C@](C(=O)NCc1ccc(C(=O)O)cc1)(C3)C2,7.82
CHEMBL902516,CHEMBL246047,CC(C)(Oc1ccccc1Cl)C(=O)N[C@H]1C2CC3CC1C[C@](C(=O)O)(C3)C2,8.10
CHEMBL902516,CHEMBL245851,CC(C)(Oc1ccc(Cl)cc1)C(=O)N[C@H]1C2CC3CC1C[C@](C(N)=O)(C3)C2,8.22
CHEMBL902516,CHEMBL246265,CC(C)(Oc1ccc(Cl)cc1)C(=O)N[C@H]1C2CC3CC1C[C@](C(=O)NCc1ccc(S(N)(=O)=O)cc1)(C3)C2,7.29
CHEMBL923794,CHEMBL256103,CCc1ccc(S(=O)(=O)N2CCN(c3ncccc3C(F)(F)F)CC2)cc1,7.75
CHEMBL923794,CHEMBL257782,Cc1ccc(S(=O)(=O)N2CCN(c3ncccc3C)CC2)cc1,6.82
CHEMBL923794,CHEMBL257377,O=C(c1ccccc1)N1CCN(c2ncccc2C(F)(F)F)CC1,6.58
CHEMBL923794,CHEMBL254160,COc1ccc(N2CCN(S(=O)(=O)c3ccc(C(C)(C)C)cc3)CC2)cc1,6.63
CHEMBL923794,CHEMBL257161,O=S(=O)(c1ccc(Cl)cc1)N1CCN(c2ncccc2C(F)(F)F)CC1,7.85
CHEMBL923794,CHEMBL429499,C[C@@H]1CN(c2ncccc2C(F)(F)F)CCN1S(=O)(=O)c1ccc(C(C)(C)C)cc1,7.96
CHEMBL923794,CHEMBL404906,N#Cc1ccc(S(=O)(=O)N2CCN(c3ncccc3C(F)(F)F)CC2)cc1,7.30
CHEMBL923794,CHEMBL403685,Cc1ccc(S(=O)(=O)N2CCN(c3ncccc3Cl)CC2)cc1,6.93
CHEMBL923794,CHEMBL257567,CC1CN(c2ncccc2C(F)(F)F)CCN1S(=O)(=O)c1ccc(C(C)(C)C)cc1,8.05
CHEMBL923794,CHEMBL404323,O=S(=O)(c1cccc(Cl)c1)N1CCN(c2ncccc2C(F)(F)F)CC1,7.26
CHEMBL923794,CHEMBL404890,COc1ccc(S(=O)(=O)N2CCN(c3ncccc3C(F)(F)F)CC2)cc1,7.72
CHEMBL923794,CHEMBL255888,Cc1ccc(S(=O)(=O)N2CCN(c3ncccc3C(F)(F)F)CC2)cc1,7.80
CHEMBL923794,CHEMBL257565,CCC1CN(c2ncccc2C(F)(F)F)CCN1S(=O)(=O)c1ccc(C(C)(C)C)cc1,7.77
CHEMBL923794,CHEMBL257581,CC(C)(C)c1ccc(S(=O)(=O)N2CCN(c3ccc(F)cc3)CC2)cc1,7.38
CHEMBL923794,CHEMBL255005,O=S(=O)(Cc1ccccc1)N1CCN(c2ncccc2C(F)(F)F)CC1,7.70
CHEMBL923794,CHEMBL257618,CC(C)(C)c1ccc(S(=O)(=O)N2CCN(c3ccccc3Cl)CC2)cc1,7.02
CHEMBL923794,CHEMBL255002,FC(F)(F)c1cccnc1N1CCN(Cc2ccccc2)CC1,6.26
CHEMBL923794,CHEMBL256328,O=S(=O)(c1cccc(C(F)(F)F)c1)N1CCN(c2ncccc2C(F)(F)F)CC1,7.19
CHEMBL923794,CHEMBL430215,CC(C)(C)c1ccc(S(=O)(=O)N2CCCN(c3ncccc3C(F)(F)F)CC2)cc1,8.52
CHEMBL923794,CHEMBL256759,CC(C)c1ccc(S(=O)(=O)N2CCN(c3ncccc3C(F)(F)F)CC2)cc1,7.82
CHEMBL923794,CHEMBL256081,O=S(=O)(c1ccc(-c2ccccc2)cc1)N1CCN(c2ncccc2C(F)(F)F)CC1,7.13
CHEMBL923794,CHEMBL257825,Cc1ccc(S(=O)(=O)N2CCN(c3ncccc3[N+](=O)[O-])CC2)cc1,6.54
CHEMBL923794,CHEMBL257824,Cc1ccccc1N1CCN(S(=O)(=O)c2ccc(C(C)(C)C)cc2)CC1,7.50
CHEMBL923794,CHEMBL256728,CC(C)(C)c1ccc(S(=O)(=O)N2CCN(c3ncccc3C(F)(F)F)CC2(C)C)cc1,7.24
CHEMBL923794,CHEMBL257773,O=S(=O)(c1cccc2ccccc12)N1CCN(c2ncccc2C(F)(F)F)CC1,7.89
CHEMBL923794,CHEMBL427727,CC(C)(C)c1ccc(S(=O)(=O)N2CCN(c3ccccc3C(F)(F)F)CC2)cc1,7.82
CHEMBL923794,CHEMBL404148,Cc1ccc(S(=O)(=O)N2CCN(c3ncccc3C#N)CC2)cc1,6.20
CHEMBL923794,CHEMBL256325,O=[N+]([O-])c1ccc(S(=O)(=O)N2CCN(c3ncccc3C(F)(F)F)CC2)cc1,7.43
CHEMBL923794,CHEMBL256968,CC(C)(C)c1ccc(S(=O)(=O)N2CCN(c3ccccc3[N+](=O)[O-])CC2)cc1,7.43
CHEMBL923794,CHEMBL402575,CC1CN(c2ncccc2C(F)(F)F)CC(C)N1S(=O)(=O)c1ccc(C(C)(C)C)cc1,7.21
CHEMBL923794,CHEMBL404427,CC(C)(C)c1ccc(S(=O)(=O)N2CCN(c3ccccc3F)CC2)cc1,6.97
CHEMBL923794,CHEMBL427896,C[C@@H]1CN(c2ccc([N+](=O)[O-])cc2)CCN1S(=O)(=O)c1ccc(C(C)(C)C)cc1,8.52
CHEMBL923794,CHEMBL256927,C[C@H]1CN(c2ncccc2C(F)(F)F)CCN1S(=O)(=O)c1ccc(C(C)(C)C)cc1,8.05
CHEMBL923794,CHEMBL256281,O=S(=O)(c1ccc2ccccc2c1)N1CCN(c2ncccc2C(F)(F)F)CC1,7.89
