assay_chembl_id,compound_chembl_id,canonical_smiles,pchembl_value
CHEMBL3371771,CHEMBL3354837,Cc1cc(C(=O)Nc2ccc(C)c(Nc3ncccc3-c3ncnc4[nH]cnc34)c2)ccc1Cl,8.59
CHEMBL3371771,CHEMBL3354384,Cc1cc(NC(=O)c2ccc(C)c(Nc3ncccc3-c3ncnc4[nH]cnc34)c2)ccc1Cl,8.85
CHEMBL3371771,CHEMBL3354381,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1ncccc1-c1ncnc2[nH]cnc12,8.66
CHEMBL3371771,CHEMBL3354378,Cc1ccc(NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)cc1Nc1ncccc1-c1ncnc2[nH]cnc12,8.38
CHEMBL3371771,CHEMBL3354839,COc1cccc(C(=O)Nc2ccc(C)c(Nc3ncccc3-c3ncnc4[nH]cnc34)c2)c1,8.92
CHEMBL3371771,CHEMBL3354838,Cc1ccc(NC(=O)c2cccc(Cl)c2)cc1Nc1ncccc1-c1ncnc2[nH]cnc12,8.75
CHEMBL3371771,CHEMBL3354389,O=C(Nc1cccc(C(F)(F)F)c1)c1ccc(Cl)c(Nc2ncccc2-c2ncnc3[nH]cnc23)c1,8.56
CHEMBL3371771,CHEMBL3354387,Cc1ccc(C(=O)Nc2ccc(C(F)(F)F)cc2)cc1Nc1ncccc1-c1ncnc2[nH]cnc12,8.82
CHEMBL3371771,CHEMBL1336,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,7.58
CHEMBL3371771,CHEMBL3354840,Cc1ccc(NC(=O)c2cccc(N(C)C)c2)cc1Nc1ncccc1-c1ncnc2[nH]cnc12,9.10
CHEMBL3371771,CHEMBL3354382,Cc1ccc(C(=O)Nc2cccc(C(C)C)c2)cc1Nc1ncccc1-c1ncnc2[nH]cnc12,8.77
CHEMBL3371771,CHEMBL3354394,Cc1ccc(NC(=O)c2ccc(Cl)c(C(F)(F)F)c2)cc1Nc1ncccc1-c1ncnc2[nH]cnc12,8.57
CHEMBL3371771,CHEMBL1229517,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F,7.64
CHEMBL3371771,CHEMBL3354836,Cc1ccc(NC(=O)c2cccc(C#N)c2)cc1Nc1ncccc1-c1ncnc2[nH]cnc12,9.18
CHEMBL3371771,CHEMBL3354842,O=C(Nc1cccc(Nc2ncccc2-c2ncnc3[nH]cnc23)c1)C1CC1,6.33
CHEMBL3371771,CHEMBL3354388,O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)c1ccc(Cl)c(Nc2ncccc2-c2ncnc3[nH]cnc23)c1,7.97
CHEMBL3371771,CHEMBL3354843,CC(=O)Nc1cc(Nc2ncccc2-c2ncnc3[nH]cnc23)ccc1Cl,5.19
CHEMBL3371771,CHEMBL3354835,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Nc1ncccc1-c1ncnc2[nH]cnc12,8.60
CHEMBL3371771,CHEMBL3354393,O=C(Nc1cccc(Nc2ncccc2-c2ncnc3[nH]cnc23)c1)c1ccc(Cl)c(C(F)(F)F)c1,8.52
CHEMBL3371771,CHEMBL3354392,O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)c1ccc(F)c(Nc2ncccc2-c2ncnc3[nH]cnc23)c1,8.32
CHEMBL3371771,CHEMBL3354377,O=C(Nc1cccc(Nc2ncccc2-c2ncnc3[nH]cnc23)c1)Nc1ccc(Cl)c(C(F)(F)F)c1,7.92
CHEMBL3371771,CHEMBL3354386,Cc1ccc(C(=O)Nc2ccc(Cl)c(Br)c2)cc1Nc1ncccc1-c1ncnc2[nH]cnc12,8.44
CHEMBL3371771,CHEMBL3354391,O=C(Nc1ccc(Cl)c(Cl)c1)c1ccc(Cl)c(Nc2ncccc2-c2ncnc3[nH]cnc23)c1,8.80
CHEMBL3371771,CHEMBL3354379,O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)c1cccc(Nc2ncccc2-c2ncnc3[nH]cnc23)c1,7.87
CHEMBL3371771,CHEMBL3354841,Cc1ccc(C(=O)Nc2cccc(C(C)C)c2)cc1Nc1ncccc1-c1ncnc2c1ncn2C,8.13
CHEMBL3371771,CHEMBL3352837,Cc1ccc(C(=O)Nc2cccc(C#N)c2)cc1Nc1ncccc1-c1ncnc2[nH]cnc12,9.14
CHEMBL3371771,CHEMBL3354385,Cc1ccc(C(=O)Nc2cccc(Cl)c2)cc1Nc1ncccc1-c1ncnc2[nH]cnc12,8.89
CHEMBL3371771,CHEMBL3354390,CC(C)c1cccc(NC(=O)c2ccc(Cl)c(Nc3ncccc3-c3ncnc4[nH]cnc34)c2)c1,8.09
CHEMBL3371771,CHEMBL3354383,Cc1ccc(C(=O)Nc2cccc(F)c2)cc1Nc1ncccc1-c1ncnc2[nH]cnc12,8.99
CHEMBL3371771,CHEMBL3354380,Cc1ccc(C(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)cc1Nc1ncccc1-c1ncnc2[nH]cnc12,8.50
CHEMBL3584220,CHEMBL3582395,O=S(=O)(Nc1ccc(F)c(C#Cc2cnc3[nH]nc(-c4ccccc4)c3c2)c1F)c1cccnc1,7.80
CHEMBL3584220,CHEMBL3582396,O=S(=O)(Nc1ccc(F)c(C#Cc2cnc3[nH]nc(-c4ccncc4)c3c2)c1F)c1cccnc1,8.52
CHEMBL3584220,CHEMBL3582399,O=S(=O)(Nc1ccc(F)c(C#Cc2cnc3[nH]nc(-c4ccc(Cl)cc4)c3c2)c1F)c1cccnc1,7.68
CHEMBL3584220,CHEMBL1229517,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F,7.48
CHEMBL3584220,CHEMBL3582383,O=S(=O)(Nc1ccc(F)c(C#Cc2cnc3[nH]ncc3c2)c1F)c1ccccc1F,6.75
CHEMBL3584220,CHEMBL3582389,O=S(=O)(Nc1ccc(F)c(C#Cc2ccc3[nH]ncc3c2)c1F)c1cccnc1,5.37
CHEMBL3584220,CHEMBL3582393,Cc1n[nH]c2ncc(C#Cc3c(F)ccc(NS(=O)(=O)c4cccnc4)c3F)cc12,7.60
CHEMBL3584220,CHEMBL3582394,O=S(=O)(Nc1ccc(F)c(C#Cc2cnc3[nH]nc(C4CC4)c3c2)c1F)c1cccnc1,8.00
CHEMBL3584220,CHEMBL3582388,O=S(=O)(Nc1ccc(F)c(C#Cc2cnc3[nH]ccc3c2)c1F)c1cccnc1,7.32
CHEMBL3584220,CHEMBL3582384,O=S(=O)(Nc1ccc(F)c(C#Cc2cnc3[nH]ncc3c2)c1F)c1cccc(F)c1,7.17
CHEMBL3584220,CHEMBL3582385,O=S(=O)(Nc1ccc(F)c(C#Cc2cnc3[nH]ncc3c2)c1F)c1ccc(F)cc1,6.04
CHEMBL3584220,CHEMBL3582391,COc1n[nH]c2ncc(C#Cc3c(F)ccc(NS(=O)(=O)c4cccnc4)c3F)cc12,7.77
CHEMBL3584220,CHEMBL3582386,O=S(=O)(Nc1ccc(F)c(C#Cc2cnc3[nH]ncc3c2)c1F)c1ccccn1,6.23
CHEMBL3584220,CHEMBL3582398,O=S(=O)(Nc1ccc(F)c(C#Cc2cnc3[nH]nc(-c4cccc(Cl)c4)c3c2)c1F)c1cccnc1,6.97
CHEMBL3584220,CHEMBL3582392,CCOc1n[nH]c2ncc(C#Cc3c(F)ccc(NS(=O)(=O)c4cccnc4)c3F)cc12,6.91
CHEMBL3584220,CHEMBL3582397,O=S(=O)(Nc1ccc(F)c(C#Cc2cnc3[nH]nc(-c4ccccc4Cl)c3c2)c1F)c1cccnc1,6.88
CHEMBL3584220,CHEMBL3582390,O=S(=O)(Nc1ccc(F)c(C#Cc2cnc3ccnn3c2)c1F)c1cccnc1,6.27
CHEMBL3584220,CHEMBL3582400,O=S(=O)(Nc1ccc(F)c(C#Cc2cnc3[nH]nc(-c4ccc(F)cc4)c3c2)c1F)c1cccnc1,7.96
CHEMBL3584220,CHEMBL3582387,O=S(=O)(Nc1ccc(F)c(C#Cc2cnc3[nH]ncc3c2)c1F)c1cccnc1,7.29
CHEMBL3584220,CHEMBL3582382,O=S(=O)(Nc1ccc(F)c(C#Cc2cnc3[nH]ncc3c2)c1F)c1ccccc1,6.83
CHEMBL3881301,CHEMBL3890179,COC(=O)N[C@@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2ccc(F)c(NS(C)(=O)=O)c2F)n1,8.21
CHEMBL3881301,CHEMBL3903732,CC(C)n1cc(-c2ccnc(N)n2)c(-c2cc(Cl)cc(NS(C)(=O)=O)c2F)n1,8.37
CHEMBL3881301,CHEMBL3905481,COC(=O)N[C@@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2cccc(NS(C)(=O)=O)c2F)n1,8.64
CHEMBL3881301,CHEMBL3917315,COC(=O)N[C@@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2c(F)ccc(NS(C)(=O)=O)c2F)n1,8.41
CHEMBL3881301,CHEMBL3891996,COC(=O)N[C@@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2ccnc(NS(C)(=O)=O)c2F)n1,7.62
CHEMBL3881301,CHEMBL3932572,CCCS(=O)(=O)Nc1cc(Cl)cc(-c2nn(C(C)C)cc2-c2ccnc(NC[C@H](C)NC(=O)OC)n2)c1,9.70
CHEMBL3881301,CHEMBL3917262,CCS(=O)(=O)Nc1c(F)ccc(-c2nn(C(C)C)cc2-c2ccnc(NC[C@H](C)NC(=O)OC)n2)c1F,8.77
CHEMBL3881301,CHEMBL3962696,COC(=O)NC[C@H](C)Nc1nccc(-c2cn(C(C)C)nc2-c2cc(Cl)cc(NS(C)(=O)=O)c2F)n1,8.54
CHEMBL3881301,CHEMBL3931720,COC(=O)N[C@@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2cc(F)cc(NS(C)(=O)=O)c2F)n1,9.22
CHEMBL3881301,CHEMBL3904633,COC(=O)N[C@@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2cc(F)cc(NS(C)(=O)=O)c2Cl)n1,8.96
