assay_chembl_id,compound_chembl_id,canonical_smiles,pchembl_value
CHEMBL1029826,CHEMBL511592,CN1CCN(c2cnc3cc(C(F)(F)F)cc(-c4ccc5[nH]c(=O)[nH]c5c4)c3n2)CC1,6.41
CHEMBL1029826,CHEMBL462504,CN1CCN(c2cnc3cc(C(F)(F)F)cc(NCc4ccccc4)c3n2)CC1,5.96
CHEMBL1029826,CHEMBL511172,CN1CCN(c2cnc3cccc(-c4ccccc4)c3n2)CC1,4.55
CHEMBL1029826,CHEMBL465791,CN1CCN(c2cnc3cc(C(F)(F)F)cc(OCc4cccc([N+](=O)[O-])c4)c3n2)CC1,6.50
CHEMBL1029826,CHEMBL517912,CN1CCN(c2cnc3cc(C(F)(F)F)cc(-c4cccc([N+](=O)[O-])c4)c3n2)CC1,4.89
CHEMBL1029826,CHEMBL456502,CN1CCN(c2cnc3cc(C(F)(F)F)cc(-c4ccccc4)c3n2)CC1,5.89
CHEMBL1029826,CHEMBL518516,CN1CCN(c2cnc3cc(C(F)(F)F)cc(NCc4cccc([N+](=O)[O-])c4)c3n2)CC1,7.46
CHEMBL1029826,CHEMBL459325,CN1CCN(c2cnc3cc(C(F)(F)F)cc(NCc4ccccc4[N+](=O)[O-])c3n2)CC1,6.27
CHEMBL1029826,CHEMBL515659,CN1CCN(c2cnc3cc(C(F)(F)F)cc(NCc4cccc5nonc45)c3n2)CC1,7.51
CHEMBL1029826,CHEMBL458217,CN1CCN(c2cnc3cc(Cl)cc(-c4ccccc4)c3n2)CC1,5.55
CHEMBL1029826,CHEMBL510459,CC(=O)N1CCN(c2cnc3cc(C(F)(F)F)cc(-c4ccccc4)c3n2)CC1,5.89
CHEMBL1029826,CHEMBL465790,CN1CCN(c2cnc3cc(C(F)(F)F)cc(NCc4ccc([N+](=O)[O-])cc4)c3n2)CC1,7.26
CHEMBL1029826,CHEMBL462711,CN1CCN(c2cnc3cc(C(F)(F)F)cc(-c4cccc(C(N)=O)c4)c3n2)CC1,5.30
CHEMBL1029826,CHEMBL456456,CN1CCN(c2cnc3cc(C(F)(F)F)cc(NCc4ccc5nonc5c4)c3n2)CC1,6.42
CHEMBL1029826,CHEMBL457338,COc1ccc(-c2cc(C(F)(F)F)cc3ncc(N4CCN(C)CC4)nc23)cc1OC,5.82
CHEMBL1029826,CHEMBL513602,Nc1cnc2cc(C(F)(F)F)cc(-c3ccccc3)c2n1,4.70
