assay_chembl_id,compound_chembl_id,canonical_smiles,pchembl_value,standardized_smiles
CHEMBL902588,CHEMBL235981,CCCCCc1cccc(-c2cccc(CCCC(=O)NCCc3c[nH]c4ccc(O)cc34)c2)c1,4.3,CCCCCc1cccc(-c2cccc(CCCC(=O)NCCc3c[nH]c4ccc(O)cc34)c2)c1
CHEMBL902588,CHEMBL240060,CCCCCc1cccc(OC(=O)NCCc2c[nH]c3ccc(O)cc23)c1,5.44,CCCCCc1cccc(OC(=O)NCCc2c[nH]c3ccc(O)cc23)c1
CHEMBL902588,CHEMBL191534,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCc1c[nH]c2ccc(O)cc12,5.1,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCc1c[nH]c2ccc(O)cc12
CHEMBL902588,CHEMBL396860,CC(C)(C)c1cccc(OC(=O)NCCc2c[nH]c3ccc(O)cc23)c1,5.43,CC(C)(C)c1cccc(OC(=O)NCCc2c[nH]c3ccc(O)cc23)c1
CHEMBL902588,CHEMBL235983,CCCCCc1ccc2ccc(CCCC(=O)NCCc3c[nH]c4ccc(O)cc34)cc2c1,4.3,CCCCCc1ccc2ccc(CCCC(=O)NCCc3c[nH]c4ccc(O)cc34)cc2c1
CHEMBL902588,CHEMBL393943,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)NCCc1c[nH]c2ccc(O)cc12,5.0,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)NCCc1c[nH]c2ccc(O)cc12
CHEMBL902588,CHEMBL392299,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)NCCc1c[nH]c2ccc(O)cc12,5.0,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)NCCc1c[nH]c2ccc(O)cc12
CHEMBL902588,CHEMBL241138,O=C(NCCc1c[nH]c2ccc(O)cc12)Oc1cccc(I)c1,5.75,O=C(NCCc1c[nH]c2ccc(O)cc12)Oc1cccc(I)c1
CHEMBL902588,CHEMBL236589,O=C(NCCc1c[nH]c2ccc(O)cc12)Oc1ccc(OCc2ccccc2)cc1,5.93,O=C(NCCc1c[nH]c2ccc(O)cc12)Oc1ccc(OCc2ccccc2)cc1
CHEMBL902588,CHEMBL241137,O=C(NCCc1c[nH]c2ccc(O)cc12)Oc1ccc(Cl)cc1,5.17,O=C(NCCc1c[nH]c2ccc(O)cc12)Oc1ccc(Cl)cc1
CHEMBL902588,CHEMBL236385,CCCCC/C=C\C/C=C\CCCCCCCC(=O)NCCc1c[nH]c2ccc(O)cc12,4.52,CCCCC/C=C\C/C=C\CCCCCCCC(=O)NCCc1c[nH]c2ccc(O)cc12
CHEMBL902588,CHEMBL241139,O=C(NCCc1c[nH]c2ccc(O)cc12)Oc1ccc2ccccc2c1,5.0,O=C(NCCc1c[nH]c2ccc(O)cc12)Oc1ccc2ccccc2c1
CHEMBL902588,CHEMBL396861,O=C(NCCc1c[nH]c2ccc(O)cc12)Oc1cccc(Cl)c1,5.72,O=C(NCCc1c[nH]c2ccc(O)cc12)Oc1cccc(Cl)c1
CHEMBL902588,CHEMBL394120,O=C(NCCc1c[nH]c2ccc(O)cc12)Oc1ccc(I)cc1,5.3,O=C(NCCc1c[nH]c2ccc(O)cc12)Oc1ccc(I)cc1
CHEMBL902588,CHEMBL240275,O=C(NCCc1c[nH]c2ccc(O)cc12)Oc1ccc(C(F)(F)F)cc1,5.19,O=C(NCCc1c[nH]c2ccc(O)cc12)Oc1ccc(C(F)(F)F)cc1
CHEMBL902588,CHEMBL241348,COc1ccc(OC(=O)NCCc2c[nH]c3ccc(O)cc23)cc1,5.0,COc1ccc(OC(=O)NCCc2c[nH]c3ccc(O)cc23)cc1
CHEMBL902588,CHEMBL240274,O=C(NCCc1c[nH]c2ccc(O)cc12)Oc1cccc(C(F)(F)F)c1,5.66,O=C(NCCc1c[nH]c2ccc(O)cc12)Oc1cccc(C(F)(F)F)c1
CHEMBL902588,CHEMBL394637,O=C(CCCCCCCc1ccccc1)NCCc1c[nH]c2ccc(O)cc12,4.47,O=C(CCCCCCCc1ccccc1)NCCc1c[nH]c2ccc(O)cc12
CHEMBL902588,CHEMBL240061,O=C(NCCc1c[nH]c2ccc(O)cc12)Oc1cccc(-c2ccccc2)c1,6.3,O=C(NCCc1c[nH]c2ccc(O)cc12)Oc1cccc(-c2ccccc2)c1
CHEMBL902588,CHEMBL397071,O=C(CCCCCCCCc1ccccc1)NCCc1c[nH]c2ccc(O)cc12,4.52,O=C(CCCCCCCCc1ccccc1)NCCc1c[nH]c2ccc(O)cc12
CHEMBL902588,CHEMBL235984,CC(C)(C)c1ccc(CNC(=O)NCCc2c[nH]c3ccc(O)cc23)cc1,4.3,CC(C)(C)c1ccc(CNC(=O)NCCc2c[nH]c3ccc(O)cc23)cc1
CHEMBL949088,CHEMBL261172,O=C(CCc1ccc(-c2ccccc2)cc1)c1ncco1,6.75,O=C(CCc1ccc(-c2ccccc2)cc1)c1ncco1
CHEMBL949088,CHEMBL260747,O=C(O)c1cccc(-c2cnc(C(=O)CCc3ccc(-c4ccccc4)cc3)o2)n1,8.22,O=C(O)c1cccc(-c2cnc(C(=O)CCc3ccc(-c4ccccc4)cc3)o2)n1
CHEMBL949088,CHEMBL220770,N#Cc1cnc(C(=O)CCCCCCc2ccccc2)o1,8.19,N#Cc1cnc(C(=O)CCCCCCc2ccccc2)o1
CHEMBL949088,CHEMBL406659,O=C(CCc1ccc(-c2ccccc2)cc1)c1ncc(-c2cccc(-c3nnn[nH]3)n2)o1,7.0,O=C(CCc1ccc(-c2ccccc2)cc1)c1ncc(-c2cccc(-c3nn[nH]n3)n2)o1
CHEMBL949088,CHEMBL226990,O=C(CCc1ccc(Oc2ccccc2)cc1)c1ncc(-c2ccccn2)o1,8.7,O=C(CCc1ccc(Oc2ccccc2)cc1)c1ncc(-c2ccccn2)o1
CHEMBL949088,CHEMBL272038,N#Cc1cnc(C(=O)CCc2ccc(Oc3ccccc3)cc2)o1,8.3,N#Cc1cnc(C(=O)CCc2ccc(Oc3ccccc3)cc2)o1
CHEMBL949088,CHEMBL271380,O=C(O)c1cnc(C(=O)CCc2ccc(-c3ccccc3)cc2)o1,7.7,O=C(O)c1cnc(C(=O)CCc2ccc(-c3ccccc3)cc2)o1
CHEMBL949088,CHEMBL219942,O=C(O)c1cccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)n1,7.0,O=C(O)c1cccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)n1
CHEMBL949088,CHEMBL220125,O=C(CCCCCCc1ccccc1)c1ncco1,5.6,O=C(CCCCCCc1ccccc1)c1ncco1
CHEMBL949088,CHEMBL258820,N#Cc1cnc(C(=O)CCc2ccc(COc3ccccc3)cc2)o1,8.7,N#Cc1cnc(C(=O)CCc2ccc(COc3ccccc3)cc2)o1
CHEMBL949088,CHEMBL272111,N#Cc1cnc(C(=O)CCc2ccc(-c3ccccc3)cc2)o1,9.0,N#Cc1cnc(C(=O)CCc2ccc(-c3ccccc3)cc2)o1
CHEMBL949088,CHEMBL220729,O=C(O)c1cnc(C(=O)CCCCCCc2ccccc2)o1,8.7,O=C(O)c1cnc(C(=O)CCCCCCc2ccccc2)o1
CHEMBL949088,CHEMBL177577,O=C(CCCCCCc1ccccc1)c1ncc(-c2ccccn2)o1,8.7,O=C(CCCCCCc1ccccc1)c1ncc(-c2ccccn2)o1
CHEMBL949088,CHEMBL226938,O=C(CCc1ccc(COc2ccccc2)cc1)c1ncc(-c2ccccn2)o1,8.7,O=C(CCc1ccc(COc2ccccc2)cc1)c1ncc(-c2ccccn2)o1
CHEMBL949088,CHEMBL272830,O=C(CCc1ccc(COc2ccccc2)cc1)c1ncco1,6.57,O=C(CCc1ccc(COc2ccccc2)cc1)c1ncco1
CHEMBL949088,CHEMBL441735,O=C(CCc1ccc(Oc2ccccc2)cc1)c1ncco1,6.3,O=C(CCc1ccc(Oc2ccccc2)cc1)c1ncco1
CHEMBL949088,CHEMBL271389,O=C(O)c1cnc(C(=O)CCc2ccc(COc3ccccc3)cc2)o1,7.3,O=C(O)c1cnc(C(=O)CCc2ccc(COc3ccccc3)cc2)o1
CHEMBL949088,CHEMBL270284,O=C(CCCCCCc1ccccc1)c1ncc(-c2cccc(-c3nnn[nH]3)n2)o1,6.3,O=C(CCCCCCc1ccccc1)c1ncc(-c2cccc(-c3nn[nH]n3)n2)o1
CHEMBL949088,CHEMBL272228,O=C(O)c1cnc(C(=O)CCc2ccc(Oc3ccccc3)cc2)o1,7.1,O=C(O)c1cnc(C(=O)CCc2ccc(Oc3ccccc3)cc2)o1
CHEMBL949088,CHEMBL271789,O=C(O)c1cccc(-c2cnc(C(=O)CCc3ccc(Oc4ccccc4)cc3)o2)n1,7.7,O=C(O)c1cccc(-c2cnc(C(=O)CCc3ccc(Oc4ccccc4)cc3)o2)n1
CHEMBL949088,CHEMBL227046,O=C(CCc1ccc(-c2ccccc2)cc1)c1ncc(-c2ccccn2)o1,9.15,O=C(CCc1ccc(-c2ccccc2)cc1)c1ncc(-c2ccccn2)o1
CHEMBL949088,CHEMBL271382,O=C(CCc1ccc(COc2ccccc2)cc1)c1ncc(-c2cccc(-c3nnn[nH]3)n2)o1,6.75,O=C(CCc1ccc(COc2ccccc2)cc1)c1ncc(-c2cccc(-c3nn[nH]n3)n2)o1
CHEMBL949088,CHEMBL260535,O=C(O)c1cccc(-c2cnc(C(=O)CCc3ccc(COc4ccccc4)cc3)o2)n1,7.4,O=C(O)c1cccc(-c2cnc(C(=O)CCc3ccc(COc4ccccc4)cc3)o2)n1
CHEMBL970754,CHEMBL466961,O=C(O)c1cccc(-c2noc(C(=O)CCCCCCc3ccccc3)n2)n1,7.4,O=C(O)c1cccc(-c2noc(C(=O)CCCCCCc3ccccc3)n2)n1
CHEMBL970754,CHEMBL477371,O=C(CCCCCCc1ccccc1)c1nncs1,6.52,O=C(CCCCCCc1ccccc1)c1nncs1
CHEMBL970754,CHEMBL426967,O=C(CCCCCCc1ccccc1)c1nnc(-c2ccco2)o1,9.0,O=C(CCCCCCc1ccccc1)c1nnc(-c2ccco2)o1
CHEMBL970754,CHEMBL469050,O=C(CCCCCCc1ccccc1)c1ncon1,6.3,O=C(CCCCCCc1ccccc1)c1ncon1
CHEMBL970754,CHEMBL450158,COC(=O)c1nnc(C(=O)CCCCCCc2ccccc2)s1,7.22,COC(=O)c1nnc(C(=O)CCCCCCc2ccccc2)s1
CHEMBL970754,CHEMBL177356,O=C(CCCCCCc1ccccc1)c1ncc(-c2ccco2)o1,7.92,O=C(CCCCCCc1ccccc1)c1ncc(-c2ccco2)o1
CHEMBL970754,CHEMBL467182,N#Cc1cccc(-c2ccc(C(=O)CCCCCCc3ccccc3)nn2)n1,4.89,N#Cc1cccc(-c2ccc(C(=O)CCCCCCc3ccccc3)nn2)n1
CHEMBL970754,CHEMBL515490,O=C(O)c1cccc(-c2ccc(C(=O)CCCCCCc3ccccc3)nn2)n1,4.7,O=C(O)c1cccc(-c2ccc(C(=O)CCCCCCc3ccccc3)nn2)n1
CHEMBL970754,CHEMBL468189,COC(=O)c1nc(C(=O)CCCCCCc2ccccc2)no1,8.0,COC(=O)c1nc(C(=O)CCCCCCc2ccccc2)no1
CHEMBL970754,CHEMBL467368,O=C(CCCCCCc1ccccc1)c1nnn(-c2ccccn2)n1,8.52,O=C(CCCCCCc1ccccc1)c1nnn(-c2ccccn2)n1
CHEMBL970754,CHEMBL476512,O=C(CCCCCCc1ccccc1)c1ccc(-c2ccccn2)nn1,5.22,O=C(CCCCCCc1ccccc1)c1ccc(-c2ccccn2)nn1
CHEMBL970754,CHEMBL448922,O=C(CCCCCCc1ccccc1)c1ncno1,8.4,O=C(CCCCCCc1ccccc1)c1ncno1
CHEMBL970754,CHEMBL512965,COC(=O)c1cccc(-c2noc(C(=O)CCCCCCc3ccccc3)n2)n1,8.52,COC(=O)c1cccc(-c2noc(C(=O)CCCCCCc3ccccc3)n2)n1
CHEMBL970754,CHEMBL178071,O=C(CCCCCCc1ccccc1)c1ncc(-c2cccs2)o1,7.26,O=C(CCCCCCc1ccccc1)c1ncc(-c2cccs2)o1
CHEMBL970754,CHEMBL467817,COC(=O)c1cccc(-c2nnc(C(=O)CCCCCCc3ccccc3)o2)n1,8.1,COC(=O)c1cccc(-c2nnc(C(=O)CCCCCCc3ccccc3)o2)n1
CHEMBL970754,CHEMBL478187,COC(=O)c1cccc(-c2ccc(C(=O)CCCCCCc3ccccc3)nn2)n1,5.0,COC(=O)c1cccc(-c2ccc(C(=O)CCCCCCc3ccccc3)nn2)n1
CHEMBL970754,CHEMBL467796,O=C(CCCCCCc1ccccc1)c1nnco1,9.0,O=C(CCCCCCc1ccccc1)c1nnco1
CHEMBL970754,CHEMBL477167,O=C(O)c1cccc(-c2cnc(C(=O)CCCCCCc3ccccc3)s2)n1,5.1,O=C(O)c1cccc(-c2cnc(C(=O)CCCCCCc3ccccc3)s2)n1
CHEMBL970754,CHEMBL461163,O=C(O)c1cccc(-c2nnc(C(=O)CCCCCCc3ccccc3)o2)n1,7.0,O=C(O)c1cccc(-c2nnc(C(=O)CCCCCCc3ccccc3)o2)n1
CHEMBL970754,CHEMBL512107,COC(=O)c1cccc(-c2nc(C(=O)CCCCCCc3ccccc3)no2)n1,6.52,COC(=O)c1cccc(-c2nc(C(=O)CCCCCCc3ccccc3)no2)n1
CHEMBL970754,CHEMBL476511,COC(=O)c1cccc(-c2nnc(C(=O)CCCCCCc3ccccc3)s2)n1,6.1,COC(=O)c1cccc(-c2nnc(C(=O)CCCCCCc3ccccc3)s2)n1
CHEMBL970754,CHEMBL456450,O=C(CCCCCCc1ccccc1)c1nnn[nH]1,6.22,O=C(CCCCCCc1ccccc1)c1nn[nH]n1
CHEMBL970754,CHEMBL455556,O=C(CCCCCCc1ccccc1)c1cccnn1,5.52,O=C(CCCCCCc1ccccc1)c1cccnn1
CHEMBL970754,CHEMBL468188,COC(=O)c1nnc(C(=O)CCCCCCc2ccccc2)o1,6.0,COC(=O)c1nnc(C(=O)CCCCCCc2ccccc2)o1
CHEMBL970754,CHEMBL173992,O=C(CCCCCCc1ccccc1)c1ncc(-c2ccccc2)o1,7.1,O=C(CCCCCCc1ccccc1)c1ncc(-c2ccccc2)o1
CHEMBL970754,CHEMBL469051,O=C(CCCCCCc1ccccc1)c1noc(-c2ccccn2)n1,8.15,O=C(CCCCCCc1ccccc1)c1noc(-c2ccccn2)n1
CHEMBL970754,CHEMBL178115,O=C(CCCCCCc1ccccc1)c1nnc(-c2ccccc2)o1,7.6,O=C(CCCCCCc1ccccc1)c1nnc(-c2ccccc2)o1
CHEMBL970754,CHEMBL219880,COC(=O)c1cccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)n1,8.1,COC(=O)c1cccc(-c2cnc(C(=O)CCCCCCc3ccccc3)o2)n1
CHEMBL970754,CHEMBL504330,O=C(O)c1cccc(-c2nnc(C(=O)CCCCCCc3ccccc3)s2)n1,5.52,O=C(O)c1cccc(-c2nnc(C(=O)CCCCCCc3ccccc3)s2)n1
CHEMBL970754,CHEMBL468222,O=C(CCCCCCc1ccccc1)c1ncc(-c2ccccn2)s1,5.7,O=C(CCCCCCc1ccccc1)c1ncc(-c2ccccn2)s1
CHEMBL970754,CHEMBL468220,O=C(O)c1cccc(-c2nc(C(=O)CCCCCCc3ccccc3)no2)n1,7.16,O=C(O)c1cccc(-c2nc(C(=O)CCCCCCc3ccccc3)no2)n1
CHEMBL970754,CHEMBL467816,O=C(CCCCCCc1ccccc1)c1nnc(-c2cccs2)o1,5.6,O=C(CCCCCCc1ccccc1)c1nnc(-c2cccs2)o1
CHEMBL970754,CHEMBL220784,COC(=O)c1cnc(C(=O)CCCCCCc2ccccc2)o1,7.52,COC(=O)c1cnc(C(=O)CCCCCCc2ccccc2)o1
CHEMBL1022293,CHEMBL467428,Cc1ccc2nc(-c3ccc(NC(=O)C4CCN(C(=O)c5cccs5)CC4)cc3)sc2c1,5.62,Cc1ccc2nc(-c3ccc(NC(=O)C4CCN(C(=O)c5cccs5)CC4)cc3)sc2c1
CHEMBL1022293,CHEMBL446296,O=C(Nc1ccc(-c2cnc3ccccc3n2)cc1)C1CCN(S(=O)(=O)c2cccs2)CC1,7.04,O=C(Nc1ccc(-c2cnc3ccccc3n2)cc1)C1CCN(S(=O)(=O)c2cccs2)CC1
CHEMBL1022293,CHEMBL513142,Cc1ccc2nc(-c3ccc(NC(=O)C4CCN(S(=O)(=O)C(C)C)CC4)cc3)sc2c1,7.2,Cc1ccc2nc(-c3ccc(NC(=O)C4CCN(S(=O)(=O)C(C)C)CC4)cc3)sc2c1
CHEMBL1022293,CHEMBL460128,O=C(Nc1ccc(-c2ccc3ccccc3n2)cc1)C1CCN(S(=O)(=O)c2cccs2)CC1,7.68,O=C(Nc1ccc(-c2ccc3ccccc3n2)cc1)C1CCN(S(=O)(=O)c2cccs2)CC1
CHEMBL1022293,CHEMBL459919,COc1ccc2nc(-c3ccc(NC(=O)C4CCN(S(=O)(=O)c5cccs5)CC4)cc3)sc2c1,7.15,COc1ccc2nc(-c3ccc(NC(=O)C4CCN(S(=O)(=O)c5cccs5)CC4)cc3)sc2c1
CHEMBL1022293,CHEMBL518028,Cc1ccc2nc(-c3ccc(NC(=O)C4CN(S(=O)(=O)c5cccs5)C4)cc3)sc2c1,6.68,Cc1ccc2nc(-c3ccc(NC(=O)C4CN(S(=O)(=O)c5cccs5)C4)cc3)sc2c1
CHEMBL1022293,CHEMBL460588,Cc1ccc2nc(-c3ccc(NC(=O)C4CCN(S(=O)(=O)c5cccs5)C4)cc3)sc2c1,7.19,Cc1ccc2nc(-c3ccc(NC(=O)C4CCN(S(=O)(=O)c5cccs5)C4)cc3)sc2c1
CHEMBL1022293,CHEMBL462464,O=C(Nc1ccc(-c2nc(-c3ccc(Cl)cc3)cs2)cc1)C1CCN(S(=O)(=O)c2cccs2)CC1,7.36,O=C(Nc1ccc(-c2nc(-c3ccc(Cl)cc3)cs2)cc1)C1CCN(S(=O)(=O)c2cccs2)CC1
CHEMBL1022293,CHEMBL461411,O=C(Nc1ccc(-c2nc3ccccc3s2)cc1)C1CCN(S(=O)(=O)c2cccs2)CC1,7.82,O=C(Nc1ccc(-c2nc3ccccc3s2)cc1)C1CCN(S(=O)(=O)c2cccs2)CC1
CHEMBL1022293,CHEMBL460798,O=C(Nc1ccc(-c2nc3ccc(Cl)cc3s2)cc1)C1CCN(S(=O)(=O)c2cccs2)CC1,7.85,O=C(Nc1ccc(-c2nc3ccc(Cl)cc3s2)cc1)C1CCN(S(=O)(=O)c2cccs2)CC1
CHEMBL1022293,CHEMBL511421,Cc1ccc2nc(-c3ccc(NC(=O)C4CCN(S(=O)(=O)c5cccc(Cl)c5)CC4)cc3)sc2c1,5.75,Cc1ccc2nc(-c3ccc(NC(=O)C4CCN(S(=O)(=O)c5cccc(Cl)c5)CC4)cc3)sc2c1
