assay_chembl_id,compound_chembl_id,canonical_smiles,pchembl_value,standardized_smiles
CHEMBL933456,CHEMBL375745,CS(=O)(=O)c1ccc(-c2noc([C@@H](CC3CC3)[C@H](N)C(=O)N3CC[C@H](F)C3)n2)c(F)c1.O=C(O)C(F)(F)F,7.72,CS(=O)(=O)c1ccc(-c2noc(C(CC3CC3)C(N)C(=O)N3CC[C@H](F)C3)n2)c(F)c1
CHEMBL933456,CHEMBL255351,CC(c1nc(-c2ccc(C(F)(F)F)cc2Cl)no1)[C@H](N)C(F)=C1CCCC1.O=C(O)C(F)(F)F,6.28,CC(c1nc(-c2ccc(C(F)(F)F)cc2Cl)no1)[C@H](N)C(F)=C1CCCC1
CHEMBL933456,CHEMBL255591,CS(=O)(=O)c1ccc(-c2noc([C@H](CCO)[C@H](N)C(F)=C3CCCC3)n2)c(Cl)c1.O=C(O)C(F)(F)F,7.03,CS(=O)(=O)c1ccc(-c2noc(C(CCO)[C@H](N)C(F)=C3CCCC3)n2)c(Cl)c1
CHEMBL933456,CHEMBL256172,CC(c1nc(-c2ccc(NS(C)(=O)=O)cc2Cl)no1)[C@H](N)C(F)=C1CCCC1.O=C(O)C(F)(F)F,7.24,CC(c1nc(-c2ccc(NS(C)(=O)=O)cc2Cl)no1)[C@H](N)C(F)=C1CCCC1
CHEMBL933456,CHEMBL401932,CC(c1nc(-c2ccc(S(=O)(=O)C(F)(F)F)cc2)no1)[C@H](N)C(F)=C1CCCC1.O=C(O)C(F)(F)F,5.83,CC(c1nc(-c2ccc(S(=O)(=O)C(F)(F)F)cc2)no1)[C@H](N)C(F)=C1CCCC1
CHEMBL933456,CHEMBL438992,C[C@H](c1nc(-c2ccc(Cl)cc2Cl)no1)[C@H](N)C(=O)N1CCCC1.O=C(O)C(F)(F)F,6.69,CC(c1nc(-c2ccc(Cl)cc2Cl)no1)C(N)C(=O)N1CCCC1
CHEMBL933456,CHEMBL402163,CS(=O)(=O)c1ccc(-c2noc([C@@H](CC3CC3)[C@H](N)C(F)=C3CCCC3)n2)c(Cl)c1.O=C(O)C(F)(F)F,9.68,CS(=O)(=O)c1ccc(-c2noc(C(CC3CC3)[C@H](N)C(F)=C3CCCC3)n2)c(Cl)c1
CHEMBL933456,CHEMBL403415,C[C@H](c1nc(-c2ccc(S(C)(=O)=O)cc2)no1)[C@H](N)C(=O)N1CCCC1.O=C(O)C(F)(F)F,6.91,CC(c1nc(-c2ccc(S(C)(=O)=O)cc2)no1)C(N)C(=O)N1CCCC1
CHEMBL933456,CHEMBL376498,CS(=O)(=O)c1ccc(-c2noc([C@@H](CC3CC3)[C@H](N)C(=O)N3CC[C@H](F)C3)n2)c(Cl)c1.O=C(O)C(F)(F)F,7.89,CS(=O)(=O)c1ccc(-c2noc(C(CC3CC3)C(N)C(=O)N3CC[C@H](F)C3)n2)c(Cl)c1
CHEMBL933456,CHEMBL220357,CS(=O)(=O)c1ccc(-c2noc([C@@H](CCO)[C@H](N)C(=O)N3CC[C@H](F)C3)n2)c(Cl)c1.O=C(O)C(F)(F)F,7.16,CS(=O)(=O)c1ccc(-c2noc(C(CCO)C(N)C(=O)N3CC[C@H](F)C3)n2)c(Cl)c1
CHEMBL933456,CHEMBL256603,CC(c1nc(-c2ccc(Br)cc2Cl)no1)[C@H](N)C(F)=C1CCCC1.O=C(O)C(F)(F)F,6.19,CC(c1nc(-c2ccc(Br)cc2Cl)no1)[C@H](N)C(F)=C1CCCC1
CHEMBL933456,CHEMBL257709,CC(c1nc(-c2ccc(S(C)(=O)=O)cc2)no1)[C@H](N)C(F)=C1CCCC1.O=C(O)C(F)(F)F,7.05,CC(c1nc(-c2ccc(S(C)(=O)=O)cc2)no1)[C@H](N)C(F)=C1CCCC1
CHEMBL933456,CHEMBL437206,C[C@H](c1nc(-c2ccc(S(C)(=O)=O)cc2Cl)no1)[C@H](N)C(=O)N1CCCC1.O=C(O)C(F)(F)F,7.77,CC(c1nc(-c2ccc(S(C)(=O)=O)cc2Cl)no1)C(N)C(=O)N1CCCC1
CHEMBL933456,CHEMBL257023,CC(c1nc(-c2ccc(S(C)(=O)=O)cc2Cl)no1)[C@H](N)C(F)=C1CCCC1.O=C(O)C(F)(F)F,8.12,CC(c1nc(-c2ccc(S(C)(=O)=O)cc2Cl)no1)[C@H](N)C(F)=C1CCCC1
CHEMBL933456,CHEMBL1162974,CC(Cc1nc(-c2ccc(S(C)(=O)=O)cc2Cl)no1)C(F)=C1CCCC1.O=C(O)C(F)(F)F,7.68,CC(Cc1nc(-c2ccc(S(C)(=O)=O)cc2Cl)no1)C(F)=C1CCCC1
CHEMBL933456,CHEMBL435320,C[C@H](c1nc(-c2ccc(S(C)(=O)=O)cc2Cl)no1)[C@H](N)C(=O)N1CC[C@H](F)C1.O=C(O)C(F)(F)F,7.4,CC(c1nc(-c2ccc(S(C)(=O)=O)cc2Cl)no1)C(N)C(=O)N1CC[C@H](F)C1
CHEMBL933456,CHEMBL437026,CC(c1nc(-c2ccc(Cl)cc2Cl)no1)[C@H](N)C(F)=C1CCCC1.O=C(O)C(F)(F)F,5.93,CC(c1nc(-c2ccc(Cl)cc2Cl)no1)[C@H](N)C(F)=C1CCCC1
CHEMBL933456,CHEMBL429757,CCS(=O)(=O)c1ccc(-c2noc(C(C)[C@H](N)C(F)=C3CCCC3)n2)c(Cl)c1.O=C(O)C(F)(F)F,7.3,CCS(=O)(=O)c1ccc(-c2noc(C(C)[C@H](N)C(F)=C3CCCC3)n2)c(Cl)c1
CHEMBL999374,CHEMBL497993,N[C@H]1CCN(P(N)(N)=O)C1=O,7.96,NC1CCN(P(N)(N)=O)C1=O
CHEMBL999374,CHEMBL525183,NCc1c(N)nc2ccccc2c1-c1ccc(Cl)cc1Cl,6.43,N=c1[nH]c2ccccc2c(-c2ccc(Cl)cc2Cl)c1CN
CHEMBL999374,CHEMBL443250,N[C@H](C(=O)N1CCC(F)C1)C1CCCCC1,6.77,NC(C(=O)N1CCC(F)C1)C1CCCCC1
CHEMBL999374,CHEMBL495932,N[C@H]1CCCCN(P(N)(=O)NS(=O)(=O)O)C1=O,7.6,NC1CCCCN(P(N)(=O)NS(=O)(=O)O)C1=O
CHEMBL999374,CHEMBL234412,CCCC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1N,6.15,CCCC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1N
CHEMBL999374,CHEMBL497782,N#C[C@@H]1Cc2ccccc2CN1C(=O)[C@@H](N)Cc1cc2ccccc2[nH]1,4.89,N#C[C@@H]1Cc2ccccc2CN1C(=O)C(N)Cc1cc2ccccc2[nH]1
CHEMBL999374,CHEMBL324777,COCCN(C)c1nc(N)c(CN)c(-c2ccc(Cl)cc2Cl)n1,8.05,COCCN(C)c1nc(-c2ccc(Cl)cc2Cl)c(CN)c(=N)[nH]1
CHEMBL999374,CHEMBL507254,N#CC1CCCN1C(=O)C(N)C1CCCCC1,7.92,N#CC1CCCN1C(=O)C(N)C1CCCCC1
CHEMBL999374,CHEMBL1422,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,7.75,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F
CHEMBL999374,CHEMBL496953,N[C@@H](COc1cc(F)cc(F)c1)Cc1cc2ccccc2[nH]1,4.3,N[C@@H](COc1cc(F)cc(F)c1)Cc1cc2ccccc2[nH]1
CHEMBL999374,CHEMBL496131,Cc1nc2c(s1)CC([C@H](N)C(=O)N1CC[C@H](F)C1)CC2,7.37,Cc1nc2c(s1)CC(C(N)C(=O)N1CC[C@H](F)C1)CC2
CHEMBL999374,CHEMBL371907,N#C[C@@H]1CCCN1C(=O)CNCC(=O)N1CCc2ccccc2C1,5.48,N#C[C@@H]1CCCN1C(=O)CNCC(=O)N1CCc2ccccc2C1
CHEMBL999374,CHEMBL498167,CC(C)Cn1c(CN)c(-c2ccccc2)c2ccccc2c1=O,6.6,CC(C)Cn1c(CN)c(-c2ccccc2)c2ccccc2c1=O
CHEMBL999374,CHEMBL527015,N#C[C@@H]1CCCN1C(=O)/C(N)=C/C(=O)N1Cc2ccccc2C1,7.35,N#C[C@@H]1CCCN1C(=O)C(=N)CC(=O)N1Cc2ccccc2C1
CHEMBL999374,CHEMBL497992,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(NS(=O)(=O)CC(F)(F)F)cc2)CC1,8.59,NC(C(=O)N1CCCC1)C1CCC(NS(=O)(=O)c2ccc(NS(=O)(=O)CC(F)(F)F)cc2)CC1
CHEMBL999374,CHEMBL522909,C=CCN(CC=C)C(=O)n1cnc(S(=O)(=O)C2CC3CCC2C3)n1,7.68,C=CCN(CC=C)C(=O)n1cnc(S(=O)(=O)C2CC3CCC2C3)n1
CHEMBL999374,CHEMBL280658,N[C@H](C(=O)N1CCC(F)(F)C1)C1CCCCC1,7.14,NC(C(=O)N1CCC(F)(F)C1)C1CCCCC1
CHEMBL999374,CHEMBL504823,N[C@H]1CCCN([P@@](N)(=O)NS(=O)(=O)O)C1=O,7.68,NC1CCCN([P@@](N)(=O)NS(=O)(=O)O)C1=O
CHEMBL999374,CHEMBL380860,N[C@H](C(=O)N1CC(F)(F)C(F)(F)C1)C1CCCCC1,6.96,NC(C(=O)N1CC(F)(F)C(F)(F)C1)C1CCCCC1
CHEMBL999374,CHEMBL522911,N#C[C@@H]1CCCN1C(=O)N[C@H](CN)C1CCCCC1,4.92,N#C[C@@H]1CCCN1C(=O)N[C@H](CN)C1CCCCC1
CHEMBL999374,CHEMBL451319,Cc1cc2ccccc2n1C[C@H](C)NCC(=O)N1CCC[C@H]1C#N,7.16,Cc1cc2ccccc2n1C[C@H](C)NCC(=O)N1CCC[C@H]1C#N
CHEMBL999374,CHEMBL77538,N#Cc1ccc(NCCNCC(=O)N2CCC[C@H]2C#N)nc1,7.66,N#Cc1ccc(=NCCNCC(=O)N2CCC[C@H]2C#N)[nH]c1
CHEMBL999374,CHEMBL186406,CCOC(=O)c1cnc(CN)c2c(OC)cc(OC)cc12,6.5,CCOC(=O)c1cnc(CN)c2c(OC)cc(OC)cc12
CHEMBL1039009,CHEMBL565613,N[C@@H](CCN1CCC[C@H]1c1ncn(-c2ccccc2)n1)Cc1ccccc1F,7.21,N[C@@H](CCN1CCCC1c1ncn(-c2ccccc2)n1)Cc1ccccc1F
CHEMBL1039009,CHEMBL584276,N[C@@H](CCN1CCC[C@H]1c1nnc(-c2ccccc2)o1)Cc1ccccc1F,6.92,N[C@@H](CCN1CCCC1c1nnc(-c2ccccc2)o1)Cc1ccccc1F
CHEMBL1039009,CHEMBL567270,N[C@@H](CC(=O)N1CCC[C@H]1c1ncn(-c2ccccn2)n1)Cc1cc(F)c(F)cc1F,7.55,N[C@@H](CC(=O)N1CCCC1c1ncn(-c2ccccn2)n1)Cc1cc(F)c(F)cc1F
CHEMBL1039009,CHEMBL567279,CC(=O)N1CC(c2noc([C@@H]3CCCN3C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F)n2)C1,8.3,CC(=O)N1CC(c2noc(C3CCCN3C(=O)C[C@H](N)Cc3cc(F)c(F)cc3F)n2)C1
CHEMBL1039009,CHEMBL584698,N[C@@H](CC(=O)N1CCC[C@H]1c1noc(C2(O)CC2)n1)Cc1cc(F)c(F)cc1F,7.77,N[C@@H](CC(=O)N1CCCC1c1noc(C2(O)CC2)n1)Cc1cc(F)c(F)cc1F
CHEMBL1039009,CHEMBL585129,N[C@@H](CC(=O)N1CCC[C@H]1c1nc(N2CCOCC2)no1)Cc1cc(F)c(F)cc1F,8.4,N[C@@H](CC(=O)N1CCCC1c1nc(N2CCOCC2)no1)Cc1cc(F)c(F)cc1F
CHEMBL1039009,CHEMBL565633,CC(C)(C)c1noc([C@@H]2CCCN2C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)n1,8.7,CC(C)(C)c1noc(C2CCCN2C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)n1
