assay_chembl_id,compound_chembl_id,canonical_smiles,pchembl_value,standardized_smiles
CHEMBL868169,CHEMBL210622,COc1ccc(C(=O)Nc2sccc2C(N)=O)cc1OC,5.68,COc1ccc(C(=O)Nc2sccc2C(N)=O)cc1OC
CHEMBL868169,CHEMBL377335,NC(=O)c1c(NC(=O)c2cccc(Cl)c2)sc2c1CCCC2,6.2,NC(=O)c1c(NC(=O)c2cccc(Cl)c2)sc2c1CCCC2
CHEMBL868169,CHEMBL210308,NC(=O)c1c(NC(=O)/C=C/c2ccccc2)sc2c1CCCC2,6.6,NC(=O)c1c(NC(=O)/C=C/c2ccccc2)sc2c1CCCC2
CHEMBL868169,CHEMBL208800,COc1ccc(/C=C/C(=O)Nc2sc3c(c2C(N)=O)CCCC3)cc1OC,6.89,COc1ccc(/C=C/C(=O)Nc2sc3c(c2C(N)=O)CCCC3)cc1OC
CHEMBL868169,CHEMBL378651,NC(=O)c1c(NC(=O)Cc2ccccc2)sc2c1CCCC2,5.5,NC(=O)c1c(NC(=O)Cc2ccccc2)sc2c1CCCC2
CHEMBL868169,CHEMBL210149,CC(C)(C)c1ccc(C(=O)Nc2sc3c(c2C(N)=O)CCCC3)cc1,6.2,CC(C)(C)c1ccc(C(=O)Nc2sc3c(c2C(N)=O)CCCC3)cc1
CHEMBL868169,CHEMBL209016,COc1ccc(C(=O)Nc2sc3c(c2C(N)=O)CCCCC3)cc1OC,5.16,COc1ccc(C(=O)Nc2sc3c(c2C(N)=O)CCCCC3)cc1OC
CHEMBL868169,CHEMBL378924,Cc1cccc(C(=O)Nc2sc3c(c2C(N)=O)CCCC3)c1,6.85,Cc1cccc(C(=O)Nc2sc3c(c2C(N)=O)CCCC3)c1
CHEMBL868169,CHEMBL209937,Cc1ccccc1C(=O)Nc1sc2c(c1C(N)=O)CCCC2,5.52,Cc1ccccc1C(=O)Nc1sc2c(c1C(N)=O)CCCC2
CHEMBL868169,CHEMBL210227,NC(=O)c1c(NC(=O)c2ccc(Br)cc2)sc2c1CCCC2,6.51,NC(=O)c1c(NC(=O)c2ccc(Br)cc2)sc2c1CCCC2
CHEMBL868169,CHEMBL380229,CCC(=O)Nc1sc2c(c1C(N)=O)CCCC2,5.68,CCC(=O)Nc1sc2c(c1C(N)=O)CCCC2
CHEMBL868169,CHEMBL380184,NC(=O)c1c(NC(=O)c2ccncc2)sc2c1CCCC2,6.96,NC(=O)c1c(NC(=O)c2ccncc2)sc2c1CCCC2
CHEMBL868169,CHEMBL379367,NC(=O)c1c(NC(=O)C2CC2)sc2c1CCCC2,5.89,NC(=O)c1c(NC(=O)C2CC2)sc2c1CCCC2
CHEMBL868169,CHEMBL208973,NC(=O)c1c(NC(=O)CCc2ccccc2)sc2c1CCCC2,5.44,NC(=O)c1c(NC(=O)CCc2ccccc2)sc2c1CCCC2
CHEMBL868169,CHEMBL379331,COc1ccc(/C=C/C(=O)Nc2sc3c(c2C(N)=O)CCCC3)cc1,6.6,COc1ccc(/C=C/C(=O)Nc2sc3c(c2C(N)=O)CCCC3)cc1
CHEMBL868169,CHEMBL210601,COc1ccc(C(=O)Nc2sc3c(c2C(N)=O)CCC3)cc1OC,7.57,COc1ccc(C(=O)Nc2sc3c(c2C(N)=O)CCC3)cc1OC
CHEMBL868169,CHEMBL426687,NC(=O)c1c(NC(=O)c2ccc3c(c2)OCO3)sc2c1CCCC2,6.85,NC(=O)c1c(NC(=O)c2ccc3c(c2)OCO3)sc2c1CCCC2
