assay_chembl_id,compound_chembl_id,canonical_smiles,pchembl_value,standardized_smiles
CHEMBL4315097,CHEMBL4573726,CN(C)CCNc1nc(/C=C/c2ccc(S(C)(=O)=O)cc2)nc2ccc(Cl)cc12,6.62,CN(C)CCN=c1[nH]c(/C=C/c2ccc(S(C)(=O)=O)cc2)nc2ccc(Cl)cc12
CHEMBL4315097,CHEMBL4453048,CCN(CC)CCCC(C)Nc1nc(/C=C/c2ccc(F)cc2)nc2ccccc12,5.66,CCN(CC)CCCC(C)N=c1[nH]c(/C=C/c2ccc(F)cc2)nc2ccccc12
CHEMBL4315097,CHEMBL4466395,CN(C)CCCNc1nc(/C=C/c2ccc(F)c(F)c2)nc2ccc(Br)cc12,5.22,CN(C)CCCN=c1[nH]c(/C=C/c2ccc(F)c(F)c2)nc2ccc(Br)cc12
CHEMBL4315097,CHEMBL4583023,CN(C)CCNc1nc(/C=C/c2ccc(F)c(F)c2)nc2ccc(F)cc12,5.56,CN(C)CCN=c1[nH]c(/C=C/c2ccc(F)c(F)c2)nc2ccc(F)cc12
CHEMBL4315097,CHEMBL4475132,CN(C)CCCNc1nc(/C=C/c2ccc(F)cc2)nc2ccc(F)cc12,5.45,CN(C)CCCN=c1[nH]c(/C=C/c2ccc(F)cc2)nc2ccc(F)cc12
CHEMBL4315097,CHEMBL4533379,Fc1ccc(/C=C/c2nc(N3CCC[C@@H]3CN3CCCC3)c3cc(Cl)ccc3n2)cc1F,4.9,Fc1ccc(/C=C/c2nc(N3CCC[C@@H]3CN3CCCC3)c3cc(Cl)ccc3n2)cc1F
CHEMBL4315097,CHEMBL4581696,CN(C)CCCNc1nc(/C=C/c2ccc(F)c(F)c2)nc2ccc(Cl)cc12,5.16,CN(C)CCCN=c1[nH]c(/C=C/c2ccc(F)c(F)c2)nc2ccc(Cl)cc12
CHEMBL4315097,CHEMBL4467205,CN(C)CCCNc1nc(/C=C/c2cccs2)nc2ccc(Br)cc12,5.55,CN(C)CCCN=c1[nH]c(/C=C/c2cccs2)nc2ccc(Br)cc12
CHEMBL4315097,CHEMBL4586220,CCN(CC)CCCNc1nc(/C=C/c2cccs2)nc2ccccc12,4.99,CCN(CC)CCCN=c1[nH]c(/C=C/c2cccs2)nc2ccccc12
CHEMBL4315097,CHEMBL4460804,CCN(CC)CCCNc1nc(/C=C/c2ccc(S(C)(=O)=O)cc2)nc2ccc(Cl)cc12,5.99,CCN(CC)CCCN=c1[nH]c(/C=C/c2ccc(S(C)(=O)=O)cc2)nc2ccc(Cl)cc12
CHEMBL4315097,CHEMBL4453029,CCN(CC)CCCNc1nc(/C=C/c2ccc(SC)cc2)nc2ccc(Cl)cc12,5.3,CCN(CC)CCCN=c1[nH]c(/C=C/c2ccc(SC)cc2)nc2ccc(Cl)cc12
CHEMBL4315097,CHEMBL4468575,CN(C)CCNc1nc(/C=C/c2ccc(F)cc2)nc2ccccc12,6.12,CN(C)CCN=c1[nH]c(/C=C/c2ccc(F)cc2)nc2ccccc12
CHEMBL4315097,CHEMBL4575086,COc1ccc(/C=C/c2nc(NCCCN3CCN(C)CC3)c3ccccc3n2)cc1,5.19,COc1ccc(/C=C/c2nc(=NCCCN3CCN(C)CC3)c3ccccc3[nH]2)cc1
CHEMBL4315097,CHEMBL4551661,COc1ccc(/C=C/c2nc(NCCCN(C)C)c3cc(F)ccc3n2)cc1,5.87,COc1ccc(/C=C/c2nc(=NCCCN(C)C)c3cc(F)ccc3[nH]2)cc1
CHEMBL4315097,CHEMBL4457195,Fc1ccc(/C=C/c2nc(NCCCN3CCOCC3)c3ccccc3n2)cc1,5.22,Fc1ccc(/C=C/c2nc(=NCCCN3CCOCC3)c3ccccc3[nH]2)cc1
CHEMBL4315097,CHEMBL4559574,CN(C)CCNc1nc(/C=C/c2ccc(F)c(F)c2)nc2ccc(Cl)cc12,5.69,CN(C)CCN=c1[nH]c(/C=C/c2ccc(F)c(F)c2)nc2ccc(Cl)cc12
CHEMBL4315097,CHEMBL4449620,CC(C)c1ccc(/C=C/c2nc(NCCCN(C)C)c3ccccc3n2)cc1,5.91,CC(C)c1ccc(/C=C/c2nc(=NCCCN(C)C)c3ccccc3[nH]2)cc1
CHEMBL4315097,CHEMBL4472201,CCN(CC)CCCNc1nc(/C=C/c2ccc(F)cc2)nc2ccc(F)cc12,5.31,CCN(CC)CCCN=c1[nH]c(/C=C/c2ccc(F)cc2)nc2ccc(F)cc12
CHEMBL4315097,CHEMBL4555441,COc1ccc(/C=C/c2nc(NCCCN3CCOCC3)c3cc(Br)ccc3n2)cc1,5.04,COc1ccc(/C=C/c2nc(=NCCCN3CCOCC3)c3cc(Br)ccc3[nH]2)cc1
CHEMBL4315097,CHEMBL4455084,Fc1ccc(/C=C/c2nc(N3CCC[C@H]3CN3CCCC3)c3cc(Cl)ccc3n2)cc1F,4.9,Fc1ccc(/C=C/c2nc(N3CCC[C@H]3CN3CCCC3)c3cc(Cl)ccc3n2)cc1F
CHEMBL4315097,CHEMBL4453235,Fc1ccc(/C=C/c2nc(NCCCN3CCOCC3)c3cc(Cl)ccc3n2)cc1,4.9,Fc1ccc(/C=C/c2nc(=NCCCN3CCOCC3)c3cc(Cl)ccc3[nH]2)cc1
CHEMBL4315097,CHEMBL4539094,CCN(CC)CCCNc1nc(/C=C/c2ccc(C(C)C)cc2)nc2ccccc12,5.82,CCN(CC)CCCN=c1[nH]c(/C=C/c2ccc(C(C)C)cc2)nc2ccccc12
CHEMBL4315097,CHEMBL4460414,CN(C)CCCNc1nc(/C=C/c2ccc(F)cc2)nc2ccccc12,5.51,CN(C)CCCN=c1[nH]c(/C=C/c2ccc(F)cc2)nc2ccccc12
CHEMBL4315097,CHEMBL4450643,CCN(CC)CCCNc1nc(/C=C/c2ccc(OC)cc2)nc2cc(Cl)ccc12,4.97,CCN(CC)CCCN=c1[nH]c(/C=C/c2ccc(OC)cc2)nc2cc(Cl)ccc12
CHEMBL4315097,CHEMBL4440857,CCN(CC)CCNc1nc(/C=C/c2ccc(F)c(F)c2)nc2ccc(Br)cc12,5.56,CCN(CC)CCN=c1[nH]c(/C=C/c2ccc(F)c(F)c2)nc2ccc(Br)cc12
