assay_chembl_id,compound_chembl_id,canonical_smiles,pchembl_value,standardized_smiles
CHEMBL3782657,CHEMBL3780526,CCN1C(=O)c2cccc3c(NS(=O)(=O)c4cccc(C(=O)O)c4)ccc1c23,5.46,CCN1C(=O)c2cccc3c(NS(=O)(=O)c4cccc(C(=O)O)c4)ccc1c23
CHEMBL3782657,CHEMBL3780059,CCN1C(=O)c2cccc3c(NS(=O)(=O)c4ccc(F)cc4F)ccc1c23,6.92,CCN1C(=O)c2cccc3c(NS(=O)(=O)c4ccc(F)cc4F)ccc1c23
CHEMBL3782657,CHEMBL3780234,CCN1C(=O)c2cccc3c(NS(=O)(=O)c4ccccc4C(=O)OC)ccc1c23,5.64,CCN1C(=O)c2cccc3c(NS(=O)(=O)c4ccccc4C(=O)OC)ccc1c23
CHEMBL3782657,CHEMBL3780429,CCN1C(=O)c2cccc3c(NS(=O)(=O)c4cc(Br)ccc4OC)ccc1c23,6.39,CCN1C(=O)c2cccc3c(NS(=O)(=O)c4cc(Br)ccc4OC)ccc1c23
CHEMBL3782657,CHEMBL3780301,CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4cccc(Cl)c4)ccc1c23,5.43,CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4cccc(Cl)c4)ccc1c23
CHEMBL3782657,CHEMBL3780143,CCN1C(=O)c2cccc3c(NS(=O)(=O)Cc4ccc(Cl)cc4)ccc1c23,5.32,CCN1C(=O)c2cccc3c(NS(=O)(=O)Cc4ccc(Cl)cc4)ccc1c23
CHEMBL3782657,CHEMBL3780784,CCN1C(=O)c2cccc3c(NS(=O)(=O)c4ccc([N+](=O)[O-])cc4)ccc1c23,5.64,CCN1C(=O)c2cccc3c(NS(=O)(=O)c4ccc([N+](=O)[O-])cc4)ccc1c23
CHEMBL3782657,CHEMBL3780381,CCN1C(=O)c2cccc3c(S(=O)(=O)NCCCN4CCN(C)CC4)ccc1c23,5.38,CCN1C(=O)c2cccc3c(S(=O)(=O)NCCCN4CCN(C)CC4)ccc1c23
CHEMBL3782657,CHEMBL3780901,CCCCS(=O)(=O)Nc1ccc2c3c(cccc13)C(=O)N2CC,6.14,CCCCS(=O)(=O)Nc1ccc2c3c(cccc13)C(=O)N2CC
CHEMBL3782657,CHEMBL3781119,CCN1C(=O)c2cccc3c(NS(=O)(=O)c4c(Cl)cccc4Cl)ccc1c23,5.25,CCN1C(=O)c2cccc3c(NS(=O)(=O)c4c(Cl)cccc4Cl)ccc1c23
CHEMBL3782657,CHEMBL1485571,CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4ccccc4)ccc1c23,6.0,CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4ccccc4)ccc1c23
CHEMBL3782657,CHEMBL3781951,CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4ccccc4Cl)ccc1c23,5.71,CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4ccccc4Cl)ccc1c23
CHEMBL3782657,CHEMBL3234253,CCN1C(=O)c2cccc3c(S(=O)(=O)NCC4CCN(C(C)=O)CC4)ccc1c23,5.5,CCN1C(=O)c2cccc3c(S(=O)(=O)NCC4CCN(C(C)=O)CC4)ccc1c23
CHEMBL3782657,CHEMBL3781570,CCN1C(=O)c2cccc3c(NS(=O)(=O)c4cc(OC)ccc4OC)ccc1c23,5.41,CCN1C(=O)c2cccc3c(NS(=O)(=O)c4cc(OC)ccc4OC)ccc1c23
CHEMBL3782657,CHEMBL3781534,CCN1C(=O)c2cccc3c(NS(=O)(=O)c4ccccc4Br)ccc1c23,6.29,CCN1C(=O)c2cccc3c(NS(=O)(=O)c4ccccc4Br)ccc1c23
CHEMBL3782657,CHEMBL3780093,CCNS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC,5.96,CCNS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2CC
CHEMBL3782657,CHEMBL3781279,CCCCNS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2C,5.08,CCCCNS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2C
CHEMBL3782657,CHEMBL3780491,CCN1C(=O)c2cccc3c(NS(=O)(=O)Cc4ccc(F)cc4)ccc1c23,5.31,CCN1C(=O)c2cccc3c(NS(=O)(=O)Cc4ccc(F)cc4)ccc1c23
