assay_chembl_id,compound_chembl_id,canonical_smiles,pchembl_value,standardized_smiles
CHEMBL862304,CHEMBL438257,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(C(N)=O)cc21,8.7,CN[C@H]1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(C(N)=O)cc21
CHEMBL862304,CHEMBL382810,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc([S+](C)[O-])cc21,8.7,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc([S+](C)[O-])cc21
CHEMBL862304,CHEMBL205505,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc(C(=O)N(C)C)ccc21,8.15,CNC1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc(C(=O)N(C)C)ccc21
CHEMBL862304,CHEMBL203776,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(=O)(=O)NC)cc21,8.3,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(=O)(=O)NC)cc21
CHEMBL862304,CHEMBL378379,CNC(=O)c1ccc2c(c1)[C@@H](NC)CC[C@H]2c1ccc(Cl)c(Cl)c1,8.52,CNC(=O)c1ccc2c(c1)[C@@H](NC)CCC2c1ccc(Cl)c(Cl)c1
CHEMBL862304,CHEMBL381315,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc(C(=O)O)c(NS(C)(=O)=O)cc21,7.19,CNC1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc(C(=O)O)c(NS(C)(=O)=O)cc21
CHEMBL862304,CHEMBL809,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,8.52,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21
CHEMBL862304,CHEMBL383081,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc(C(N)=O)ccc21,7.89,CNC1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc(C(N)=O)ccc21
CHEMBL862304,CHEMBL206404,CNC(=O)c1cccc2c1[C@@H](NC)CC[C@H]2c1ccc(Cl)c(Cl)c1,7.51,CNC(=O)c1cccc2c1[C@@H](NC)CC[C@H]2c1ccc(Cl)c(Cl)c1
CHEMBL862304,CHEMBL203453,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc(S(C)(=O)=O)ccc21,7.27,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc(S(C)(=O)=O)ccc21
CHEMBL862304,CHEMBL203741,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(C#N)cc21,8.52,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(C#N)cc21
CHEMBL862304,CHEMBL203236,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(=O)(=O)N(C)C)cc21,7.16,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(=O)(=O)N(C)C)cc21
CHEMBL862304,CHEMBL202755,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(C(=O)O)cc21,7.05,CN[C@H]1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(C(=O)O)cc21
CHEMBL862304,CHEMBL382673,CN[C@H]1CC[C@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(N)(=O)=O)cc21,7.6,CN[C@H]1CC[C@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(N)(=O)=O)cc21
CHEMBL862304,CHEMBL203674,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(CC(N)=O)cc21,8.0,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(CC(N)=O)cc21
CHEMBL862304,CHEMBL202810,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(C[S+](C)[O-])cc21,6.47,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(C[S+](C)[O-])cc21
CHEMBL862304,CHEMBL383427,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(-n3cncn3)cc21,8.4,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(-n3cncn3)cc21
CHEMBL862304,CHEMBL202910,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc(C(=O)O)ccc21,7.22,CNC1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc(C(=O)O)ccc21
CHEMBL862304,CHEMBL380523,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(C(=O)N(C)C)cc21,8.05,CN[C@H]1CCC(c2ccc(Cl)c(Cl)c2)c2ccc(C(=O)N(C)C)cc21
CHEMBL862304,CHEMBL206649,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(O)cc21,8.22,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(O)cc21
CHEMBL862304,CHEMBL411693,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc([N+](=O)[O-])cc21,8.7,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc([N+](=O)[O-])cc21
CHEMBL862304,CHEMBL382241,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc([S+](C)[O-])ccc21,8.15,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc([S+](C)[O-])ccc21
CHEMBL862304,CHEMBL204285,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc(S(N)(=O)=O)ccc21,8.22,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2cc(S(N)(=O)=O)ccc21
