assay_chembl_id,compound_chembl_id,canonical_smiles,pchembl_value,standardized_smiles
CHEMBL3371771,CHEMBL3354837,Cc1cc(C(=O)Nc2ccc(C)c(Nc3ncccc3-c3ncnc4[nH]cnc34)c2)ccc1Cl,8.59,Cc1cc(C(=O)Nc2ccc(C)c(N=c3[nH]cccc3-c3ncnc4[nH]cnc34)c2)ccc1Cl
CHEMBL3371771,CHEMBL3354384,Cc1cc(NC(=O)c2ccc(C)c(Nc3ncccc3-c3ncnc4[nH]cnc34)c2)ccc1Cl,8.85,Cc1cc(NC(=O)c2ccc(C)c(N=c3[nH]cccc3-c3ncnc4[nH]cnc34)c2)ccc1Cl
CHEMBL3371771,CHEMBL3354381,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1Nc1ncccc1-c1ncnc2[nH]cnc12,8.66,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1N=c1[nH]cccc1-c1ncnc2[nH]cnc12
CHEMBL3371771,CHEMBL3354378,Cc1ccc(NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)cc1Nc1ncccc1-c1ncnc2[nH]cnc12,8.38,Cc1ccc(NC(=O)Nc2ccc(Cl)c(C(F)(F)F)c2)cc1N=c1[nH]cccc1-c1ncnc2[nH]cnc12
CHEMBL3371771,CHEMBL3354839,COc1cccc(C(=O)Nc2ccc(C)c(Nc3ncccc3-c3ncnc4[nH]cnc34)c2)c1,8.92,COc1cccc(C(=O)Nc2ccc(C)c(N=c3[nH]cccc3-c3ncnc4[nH]cnc34)c2)c1
CHEMBL3371771,CHEMBL3354838,Cc1ccc(NC(=O)c2cccc(Cl)c2)cc1Nc1ncccc1-c1ncnc2[nH]cnc12,8.75,Cc1ccc(NC(=O)c2cccc(Cl)c2)cc1N=c1[nH]cccc1-c1ncnc2[nH]cnc12
CHEMBL3371771,CHEMBL3354389,O=C(Nc1cccc(C(F)(F)F)c1)c1ccc(Cl)c(Nc2ncccc2-c2ncnc3[nH]cnc23)c1,8.56,O=C(Nc1cccc(C(F)(F)F)c1)c1ccc(Cl)c(N=c2[nH]cccc2-c2ncnc3[nH]cnc23)c1
CHEMBL3371771,CHEMBL3354387,Cc1ccc(C(=O)Nc2ccc(C(F)(F)F)cc2)cc1Nc1ncccc1-c1ncnc2[nH]cnc12,8.82,Cc1ccc(C(=O)Nc2ccc(C(F)(F)F)cc2)cc1N=c1[nH]cccc1-c1ncnc2[nH]cnc12
CHEMBL3371771,CHEMBL1336,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,7.58,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
CHEMBL3371771,CHEMBL3354840,Cc1ccc(NC(=O)c2cccc(N(C)C)c2)cc1Nc1ncccc1-c1ncnc2[nH]cnc12,9.1,Cc1ccc(NC(=O)c2cccc(N(C)C)c2)cc1N=c1[nH]cccc1-c1ncnc2[nH]cnc12
CHEMBL3371771,CHEMBL3354382,Cc1ccc(C(=O)Nc2cccc(C(C)C)c2)cc1Nc1ncccc1-c1ncnc2[nH]cnc12,8.77,Cc1ccc(C(=O)Nc2cccc(C(C)C)c2)cc1N=c1[nH]cccc1-c1ncnc2[nH]cnc12
CHEMBL3371771,CHEMBL3354394,Cc1ccc(NC(=O)c2ccc(Cl)c(C(F)(F)F)c2)cc1Nc1ncccc1-c1ncnc2[nH]cnc12,8.57,Cc1ccc(NC(=O)c2ccc(Cl)c(C(F)(F)F)c2)cc1N=c1[nH]cccc1-c1ncnc2[nH]cnc12
CHEMBL3371771,CHEMBL1229517,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F,7.64,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F
CHEMBL3371771,CHEMBL3354836,Cc1ccc(NC(=O)c2cccc(C#N)c2)cc1Nc1ncccc1-c1ncnc2[nH]cnc12,9.18,Cc1ccc(NC(=O)c2cccc(C#N)c2)cc1N=c1[nH]cccc1-c1ncnc2[nH]cnc12
