assay_chembl_id,compound_chembl_id,canonical_smiles,pchembl_value,standardized_smiles
CHEMBL1646374,CHEMBL1642784,CC(C)(C)N(Cc1ccc(C(F)(F)F)cc1)C(=O)COC(=O)c1ccc([N+](=O)[O-])o1,5.1,CC(C)(C)N(Cc1ccc(C(F)(F)F)cc1)C(=O)COC(=O)c1ccc([N+](=O)[O-])o1
CHEMBL1646374,CHEMBL1642774,CC(C)(C)N(CCc1ccccc1)C(=O)COC(=O)c1ccc([N+](=O)[O-])o1,4.85,CC(C)(C)N(CCc1ccccc1)C(=O)COC(=O)c1ccc([N+](=O)[O-])o1
CHEMBL1646374,CHEMBL1642767,CCC(C)(C)NC(=O)COC(=O)c1ccc([N+](=O)[O-])o1,5.24,CCC(C)(C)NC(=O)COC(=O)c1ccc([N+](=O)[O-])o1
CHEMBL1646374,CHEMBL1642771,O=C(COC(=O)c1ccc([N+](=O)[O-])o1)NC1Cc2ccccc2C1,5.26,O=C(COC(=O)c1ccc([N+](=O)[O-])o1)NC1Cc2ccccc2C1
CHEMBL1646374,CHEMBL1642765,CC(C)OC(=O)COC(=O)c1ccc([N+](=O)[O-])o1,4.88,CC(C)OC(=O)COC(=O)c1ccc([N+](=O)[O-])o1
CHEMBL1646374,CHEMBL1642815,O=C(OCCc1ccc([N+](=O)[O-])cc1)c1ccc([N+](=O)[O-])o1,5.68,O=C(OCCc1ccc([N+](=O)[O-])cc1)c1ccc([N+](=O)[O-])o1
CHEMBL1646374,CHEMBL1642786,CC(C)(C)N(Cc1ccccc1C(F)(F)F)C(=O)COC(=O)c1ccc([N+](=O)[O-])o1,5.05,CC(C)(C)N(Cc1ccccc1C(F)(F)F)C(=O)COC(=O)c1ccc([N+](=O)[O-])o1
CHEMBL1646374,CHEMBL1642772,O=C(COC(=O)c1ccc([N+](=O)[O-])o1)NC1CCc2ccccc21,5.21,O=C(COC(=O)c1ccc([N+](=O)[O-])o1)NC1CCc2ccccc21
CHEMBL1646374,CHEMBL1642789,O=C(OCC(=O)N(Cc1ccc(O)cc1)CC1CCCO1)c1ccc([N+](=O)[O-])o1,5.3,O=C(OCC(=O)N(Cc1ccc(O)cc1)CC1CCCO1)c1ccc([N+](=O)[O-])o1
CHEMBL1646374,CHEMBL1642808,CC(C)(C)C(=O)COC(=O)c1ccc([N+](=O)[O-])s1,5.24,CC(C)(C)C(=O)COC(=O)c1ccc([N+](=O)[O-])s1
