assay_chembl_id,compound_chembl_id,canonical_smiles,pchembl_value,standardized_smiles
CHEMBL871583,CHEMBL98350,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,6.14,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12
CHEMBL871583,CHEMBL211173,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(O)cc3O)o2)S1,6.72,O=C1NC(=O)C(=Cc2ccc(-c3ccc(O)cc3O)o2)S1
CHEMBL871583,CHEMBL208696,O=C1NC(=O)/C(=C/c2ccc(-c3cc(C(=O)O)ccc3O)o2)S1,5.87,O=C1NC(=O)C(=Cc2ccc(-c3cc(C(=O)O)ccc3O)o2)S1
CHEMBL871583,CHEMBL377175,O=C1NC(=O)/C(=C/c2ccc(-c3cc(F)ccc3O)o2)S1,6.34,O=C1NC(=O)C(=Cc2ccc(-c3cc(F)ccc3O)o2)S1
CHEMBL871583,CHEMBL378999,N#Cc1ccc(O)c(-c2ccc(/C=C3\SC(=O)NC3=O)o2)c1,6.66,N#Cc1ccc(O)c(-c2ccc(C=C3SC(=O)NC3=O)o2)c1
CHEMBL871583,CHEMBL437688,O=C1NC(=S)S/C1=C\c1ccc(-c2cc([N+](=O)[O-])ccc2O)o1,6.22,O=C1NC(=S)SC1=Cc1ccc(-c2cc([N+](=O)[O-])ccc2O)o1
CHEMBL871583,CHEMBL208662,O=C1NC(=O)/C(=C/c2ccc(-c3cccc(O)c3)o2)S1,5.75,O=C1NC(=O)/C(=C/c2ccc(-c3cccc(O)c3)o2)S1
CHEMBL871583,CHEMBL376984,O=C1NC(=O)/C(=C/c2ccc(-c3cccnc3)o2)S1,6.2,O=C1NC(=O)/C(=C/c2ccc(-c3cccnc3)o2)S1
CHEMBL871583,CHEMBL212119,O=C1NC(=O)/C(=C/c2ccc(-c3cc(Cl)ccc3O)o2)S1,6.26,O=C1NC(=O)C(=Cc2ccc(-c3cc(Cl)ccc3O)o2)S1
CHEMBL871583,CHEMBL210991,O=C1NC(=O)/C(=C/c2ccc(-c3cccc([N+](=O)[O-])c3O)o2)S1,5.9,O=C1NC(=O)C(=Cc2ccc(-c3cccc([N+](=O)[O-])c3O)o2)S1
CHEMBL871583,CHEMBL211068,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(O)cc3F)o2)S1,6.0,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(O)cc3F)o2)S1
CHEMBL871583,CHEMBL377152,COC(=O)c1ccc(-c2ccc(/C=C3\SC(=O)NC3=O)o2)c(O)c1,6.68,COC(=O)c1ccc(-c2ccc(C=C3SC(=O)NC3=O)o2)c(O)c1
CHEMBL871583,CHEMBL211768,O=C1NC(=O)/C(=C/c2ccc(-c3cc(OC(F)(F)F)ccc3O)o2)S1,6.22,O=C1NC(=O)C(=Cc2ccc(-c3cc(OC(F)(F)F)ccc3O)o2)S1
CHEMBL871583,CHEMBL211759,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(O)cc3)o2)S1,5.44,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(O)cc3)o2)S1
CHEMBL871583,CHEMBL211819,O=C1NC(=O)/C(=C/c2ccc(-c3cc(O)ccc3O)o2)S1,7.0,O=C1NC(=O)C(=Cc2ccc(-c3cc(O)ccc3O)o2)S1
CHEMBL871583,CHEMBL209193,O=C1NC(=O)/C(=C/c2ccc(-c3ccc4c(c3)OCO4)o2)S1,4.7,O=C1NC(=O)/C(=C/c2ccc(-c3ccc4c(c3)OCO4)o2)S1
CHEMBL871583,CHEMBL377104,Cc1ccc(O)c(-c2ccc(/C=C3\SC(=O)NC3=O)o2)c1,6.3,Cc1ccc(O)c(-c2ccc(C=C3SC(=O)NC3=O)o2)c1
CHEMBL871583,CHEMBL209159,O=C1NC(=O)/C(=C/c2ccc(-c3cc(F)cc(F)c3O)s2)S1,6.47,O=C1NC(=O)/C(=C/c2ccc(-c3cc(F)cc(F)c3O)s2)S1
CHEMBL871583,CHEMBL428496,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,9.0,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)CC1OC(C)=O
CHEMBL871583,CHEMBL379156,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(F)cc3O)o2)S1,6.03,O=C1NC(=O)C(=Cc2ccc(-c3ccc(F)cc3O)o2)S1
CHEMBL871583,CHEMBL378528,O=C1NC(=O)/C(=C/c2ccc(-c3ccccn3)o2)S1,6.73,O=C1NC(=O)/C(=C/c2ccc(-c3ccccn3)o2)S1
CHEMBL871583,CHEMBL208652,O=C1NC(=O)/C(=C/c2ccc(-c3ccccc3O)o2)S1,6.48,O=C1NC(=O)/C(=C/c2ccc(-c3ccccc3O)o2)S1
CHEMBL1068071,CHEMBL590325,O=C(Nc1ccncc1)Nc1ccc(-c2nc(N3CCOCC3)c3nnn(C4CC4)c3n2)cc1,8.22,O=C(N=c1cc[nH]cc1)Nc1ccc(-c2nc(N3CCOCC3)c3nnn(C4CC4)c3n2)cc1
CHEMBL1068071,CHEMBL589258,CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4ccc(C(=O)N5CCN(C)CC5)cc4)cc3)nc21,8.85,CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4ccc(C(=O)N5CCN(C)CC5)cc4)cc3)nc21
CHEMBL1068071,CHEMBL590357,CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4ccc(C(=O)NCCc5ccccn5)cc4)cc3)nc21,8.17,CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4ccc(C(=O)NCCc5ccccn5)cc4)cc3)nc21
CHEMBL1068071,CHEMBL590577,CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4ccnc(C)c4)cc3)nc21,8.1,CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)N=c4cc[nH]c(C)c4)cc3)nc21
CHEMBL1068071,CHEMBL590578,CC(C)n1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4ccc(N(C)C)cc4)cc3)nc21,7.63,CC(C)n1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4ccc(N(C)C)cc4)cc3)nc21
CHEMBL1068071,CHEMBL589612,CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4ccc(C(=O)NCCN5CCN(C)CC5)cc4)cc3)nc21,8.49,CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4ccc(C(=O)NCCN5CCN(C)CC5)cc4)cc3)nc21
CHEMBL1068071,CHEMBL589599,Cn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4cccnc4)cc3)nc21,7.98,Cn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4cccnc4)cc3)nc21
CHEMBL1068071,CHEMBL590084,CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4cccs4)cc3)nc21,8.6,CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4cccs4)cc3)nc21
