assay_chembl_id,compound_chembl_id,canonical_smiles,pchembl_value,standardized_smiles
CHEMBL2351097,CHEMBL2349340,Cc1[nH]nc2c1-c1sc(C)c(C)c1C(c1ccc(Cl)cc1)=N[C@H]2CC(=O)OC(C)(C)C,7.23,Cc1[nH]nc2c1-c1sc(C)c(C)c1C(c1ccc(Cl)cc1)=NC2CC(=O)OC(C)(C)C
CHEMBL2351097,CHEMBL2349344,Nc1ccc(-c2csc(=O)[nH]2)cc1O,4.62,Nc1ccc(-c2csc(=O)[nH]2)cc1O
CHEMBL2351097,CHEMBL2349358,CCCC(=O)Nc1cc(-c2csc(=O)[nH]2)ccc1NS(=O)(=O)c1cccs1,5.62,CCCC(=O)Nc1cc(-c2csc(=O)[nH]2)ccc1NS(=O)(=O)c1cccs1
CHEMBL2351097,CHEMBL2349354,O=c1[nH]c(-c2ccc(NS(=O)(=O)c3cccs3)c(O)c2)cs1,5.48,O=c1[nH]c(-c2ccc(NS(=O)(=O)c3cccs3)c(O)c2)cs1
CHEMBL2351097,CHEMBL2349349,O=c1[nH]c(-c2cccc(NS(=O)(=O)c3cccs3)c2)cs1,5.39,O=c1[nH]c(-c2cccc(NS(=O)(=O)c3cccs3)c2)cs1
CHEMBL2351097,CHEMBL2349351,O=c1[nH]c(-c2cccc(NS(=O)(=O)c3cccnc3)c2)cs1,5.0,O=c1[nH]c(-c2cccc(NS(=O)(=O)c3cccnc3)c2)cs1
CHEMBL2351097,CHEMBL2349347,O=c1[nH]c(-c2cccc(NS(=O)(=O)Cc3ccccc3)c2)cs1,5.39,O=c1[nH]c(-c2cccc(NS(=O)(=O)Cc3ccccc3)c2)cs1
CHEMBL2351097,CHEMBL2349346,COc1ccc(S(=O)(=O)Nc2cccc(-c3csc(=O)[nH]3)c2)cc1,5.36,COc1ccc(S(=O)(=O)Nc2cccc(-c3csc(=O)[nH]3)c2)cc1
CHEMBL2351097,CHEMBL2346691,O=c1[nH]c(-c2cccc(NCCc3ccccc3)c2)cs1,4.64,O=c1[nH]c(-c2cccc(NCCc3ccccc3)c2)cs1
CHEMBL2351097,CHEMBL2349350,O=c1[nH]c(-c2cccc(NS(=O)(=O)c3ccc(F)cc3)c2)cs1,5.43,O=c1[nH]c(-c2cccc(NS(=O)(=O)c3ccc(F)cc3)c2)cs1
CHEMBL2351097,CHEMBL1828979,Cc1noc(C)c1-c1ccccc1,6.1,Cc1noc(C)c1-c1ccccc1
