assay_chembl_id,compound_chembl_id,canonical_smiles,pchembl_value,standardized_smiles
CHEMBL2427136,CHEMBL2425962,CCc1nc2cc(/C=C/C(=O)NO)ccc2c(=O)n1CCCc1ccccc1,7.48,CCc1nc2cc(C=CC(O)=NO)ccc2c(=O)n1CCCc1ccccc1
CHEMBL2427136,CHEMBL2425952,CCc1nc2c(Cc3ccc(C(=O)NO)cc3)cccc2c(=O)n1CCc1ccccc1,7.1,CCc1nc2c(Cc3ccc(C(O)=NO)cc3)cccc2c(=O)n1CCc1ccccc1
CHEMBL2427136,CHEMBL2425963,O=C(/C=C/c1ccc2c(=O)n(CCc3ccccc3)c(C3CC3)nc2c1)NO,7.39,O=NC(=O)CCc1ccc2c(=O)n(CCc3ccccc3)c(C3CC3)nc2c1
CHEMBL2427136,CHEMBL2425961,CCc1nc2cc(/C=C/C(=O)NO)ccc2c(=O)n1CCc1ccccc1,7.96,CCc1nc2cc(C=CC(O)=NO)ccc2c(=O)n1CCc1ccccc1
CHEMBL2427136,CHEMBL2425955,Cc1nc2cc(/C=C/C(=O)NO)ccc2c(=O)n1-c1ccccc1,7.06,Cc1nc2cc(C=CC(O)=NO)ccc2c(=O)n1-c1ccccc1
CHEMBL2427136,CHEMBL2425970,CCc1nc2ccc(Cc3ccc(C(=O)NO)cc3)cc2c(=O)n1CCc1ccccc1,7.96,CCc1nc2ccc(Cc3ccc(C(O)=NO)cc3)cc2c(=O)n1CCc1ccccc1
CHEMBL2427136,CHEMBL2425957,Cc1nc2cc(/C=C/C(=O)NO)ccc2c(=O)n1Cc1ccccc1,7.62,Cc1nc2cc(C=CC(O)=NO)ccc2c(=O)n1Cc1ccccc1
CHEMBL2427136,CHEMBL2425967,CCc1nc2cc(/C=C/C(=O)NO)c(F)cc2c(=O)n1CCc1ccccc1,7.85,CCc1nc2cc(C=CC(O)=NO)c(F)cc2c(=O)n1CCc1ccccc1
CHEMBL2427136,CHEMBL2425966,CCc1nc2cc(/C=C/C(=O)NO)ccc2c(=O)n1CCc1ccc(F)cc1,7.37,CCc1nc2cc(C=CC(O)=NO)ccc2c(=O)n1CCc1ccc(F)cc1
CHEMBL2427136,CHEMBL2425954,Cc1nc2ccc(/C=C/C(=O)NO)cc2c(=O)n1-c1ccccc1,7.5,Cc1nc2ccc(C=CC(O)=NO)cc2c(=O)n1-c1ccccc1
CHEMBL2427136,CHEMBL2425953,Cc1nc2cccc(/C=C/C(=O)NO)c2c(=O)n1-c1ccccc1,5.72,Cc1nc2cccc(C=CC(O)=NO)c2c(=O)n1-c1ccccc1
CHEMBL2427136,CHEMBL2425956,Cc1nc2c(/C=C/C(=O)NO)cccc2c(=O)n1-c1ccccc1,6.16,Cc1nc2c(C=CC(O)=NO)cccc2c(=O)n1-c1ccccc1
CHEMBL2427136,CHEMBL2425969,CCc1nc2cc(Cl)c(/C=C/C(=O)NO)cc2c(=O)n1CCc1ccccc1,6.13,CC=c1nc2cc(Cl)c(=CCC(O)=NO)cc2c(=O)n1CCc1ccccc1
CHEMBL2427136,CHEMBL2425958,Cc1nc2cc(/C=C/C(=O)NO)ccc2c(=O)n1CCc1ccccc1,7.54,Cc1nc2cc(C=CC(O)=NO)ccc2c(=O)n1CCc1ccccc1
CHEMBL2427136,CHEMBL2425964,CC(C)c1nc2cc(/C=C/C(=O)NO)ccc2c(=O)n1CCc1ccccc1,7.89,CC(C)c1nc2cc(C=CC(O)=NO)ccc2c(=O)n1CCc1ccccc1
